Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:01,RE 62045,Berlin-Spandau (an 00:32),Berlin Ostkreuz
00:14,RE 33834,Berlin-Wannsee (an 23:37),Berlin Ostkreuz
00:14,RE 73750,Frankfurt(Oder) (an 01:14),Berlin Ostkreuz
00:20,FEX19878,Berlin Hbf (an 00:33),Berlin Ostkreuz
00:25,RE 73797,Brandenburg Hbf (an 01:42),Berlin Ostkreuz
00:58,RE 62041,Berlin-Spandau (an 01:31),Berlin Ostkreuz
01:25,RE 73753,Potsdam Hbf (an 02:06),Berlin Ostkreuz
01:32,FEX19880,Berlin Hbf (an 01:46),Berlin Ostkreuz
01:38,RE 33842,Frankfurt(Oder) (an 02:37),Berlin Ostkreuz
01:38,RE 73794,Frankfurt(Oder) (an 02:37),Berlin Ostkreuz
01:58,RE 62047,Berlin-Spandau (an 02:30),Berlin Ostkreuz
02:13,RE 3701,Berlin-Wannsee (an 02:49),Berlin Ostkreuz
02:51,RE 1,Göttingen (an 22:50),Berlin Ostkreuz
02:51,RE 73755,Potsdam Hbf (an 03:34),Berlin Ostkreuz
02:53,RE 3143,Frankfurt(Oder) (an 03:55),Berlin Ostkreuz
02:57,RE 62043,Berlin-Spandau (an 03:29),Berlin Ostkreuz
03:55,RE 3705,Berlin-Wannsee (an 04:33),Berlin Ostkreuz
04:00,RE 62001,Berlin-Spandau (an 04:33),Berlin Ostkreuz
04:17,RE 3101,Berlin Hbf (an 04:33),Berlin Ostkreuz
04:25,RE 73757,Brandenburg Hbf (an 05:38),Berlin Ostkreuz
04:29,RE 73752,Frankfurt(Oder) (an 05:31),Berlin Ostkreuz
04:44,FEX19800,Berlin Hbf (an 05:04),Berlin Ostkreuz
04:44,RE 33646,Brandenburg Hbf (an 05:53),Berlin Ostkreuz
04:44,RE 73717,Magdeburg Hbf (an 06:47),Berlin Ostkreuz
04:48,RB 61101,Oranienburg (an 05:21),Berlin Ostkreuz
04:49,RE 73800,Frankfurt(Oder) (an 05:39),Berlin Ostkreuz
05:03,RE 62003,Berlin-Spandau (an 05:35),Berlin Ostkreuz
05:08,RB 18300,Eberswalde Hbf (an 05:54),Berlin Ostkreuz
05:18,FEX19802,Berlin Hbf (an 05:33),Berlin Ostkreuz
05:26,RE 33717,Potsdam Hbf (an 06:05),Berlin Ostkreuz
