Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:13 (+75),ICE 1018,Berlin Gesundbrunnen (an 00:25),Berlin Südkreuz
00:28,RE 3360,Angermünde (an 01:38),Berlin Südkreuz
00:28,RE 3366,Berlin Hbf (an 00:34),Berlin Südkreuz
00:51,RE 3363,Lutherstadt Wittenberg Hbf (an 01:58),Berlin Südkreuz
00:59,RE 62090,Wünsdorf-Waldstadt (an 01:44),Berlin Südkreuz
01:16,RE 62089,Berlin Hbf (an 01:22),Berlin Südkreuz
01:53,RE 3362,Berlin Hbf (an 02:00),Berlin Südkreuz
04:37 (+2),ICE 2911,München Hbf (an 09:18),Berlin Südkreuz
04:37 Ausfall,ICE 501,München Hbf (an 09:18),Berlin Südkreuz
05:02,RB 18500,Berlin-Spandau (an 05:22),Berlin Südkreuz
05:19 (+1),ICE 608,Hamburg-Altona (an 07:40),Berlin Südkreuz
05:20,RE 3340,Berlin Hbf (an 05:27),Berlin Südkreuz
05:26,RE 62051,Berlin Hbf (an 05:34),Berlin Südkreuz
05:33 (+1),ICE 593,München Hbf (an 14:15),Berlin Südkreuz
05:36,RE 3504,Stralsund Hbf (an 08:51),Berlin Südkreuz
05:40 Ausfall,ICE 1701,München Hbf (an 10:42),Berlin Südkreuz
05:40 (+2),ICE 2915,München Hbf (an 10:42),Berlin Südkreuz
05:41,RB 18600,Berlin-Spandau (an 06:00),Berlin Südkreuz
05:44,RE 3301,Jüterbog (an 06:26),Berlin Südkreuz
05:45,RE 50257,Elsterwerda (an 07:33),Berlin Südkreuz
05:45 (+3),RJ 257,Graz Hbf (an 17:33),Berlin Südkreuz
05:49,RE 3167,Stendal Hbf (an 07:15),Berlin Südkreuz
05:54,RE 62054,Elsterwerda (an 07:47),Berlin Südkreuz
06:02,RB 18502,Berlin-Spandau (an 06:22),Berlin Südkreuz
06:02,RE 62053,Berlin Hbf (an 06:11),Berlin Südkreuz
06:06 (+2),ICE 1001,München Hbf (an 10:02),Berlin Südkreuz
06:06,ICE 833,Frankfurt(Main)Hbf (an 09:56),Berlin Südkreuz
06:23,RE 3304,Berlin Hbf (an 06:30),Berlin Südkreuz
06:27,ICE 808,Hamburg-Altona (an 08:40),Berlin Südkreuz
06:35 (+1),ICE 503,München Hbf (an 11:03),Berlin Südkreuz
06:36 (+1),RE 4352,Rostock Hbf (an 09:23),Berlin Südkreuz
06:40,ICE 1078,Ostseebad Binz (an 10:43),Berlin Südkreuz
06:41,RB 18602,Berlin-Spandau (an 07:00),Berlin Südkreuz
06:41,RE 3341,Lutherstadt Wittenberg Hbf (an 07:59),Berlin Südkreuz
06:45,RE 3147,Berlin-Spandau (an 07:06),Berlin Südkreuz
06:56 (+1),IC 2070,Hamburg-Altona (an 09:24),Berlin Südkreuz
07:01,RB 18504,Berlin-Spandau (an 07:22),Berlin Südkreuz
07:04,RE 62055,Berlin Hbf (an 07:10),Berlin Südkreuz
07:07,ICE 835,Frankfurt(Main)Hbf (an 10:56),Berlin Südkreuz
07:11 (+1),ICE 1103,München Hbf (an 11:11),Berlin Südkreuz
07:13 (+88),IC 60409,Berlin Hbf (an 07:18),Berlin Südkreuz
07:13 (+88),NJ 409,Berlin Hbf (an 07:18),Berlin Südkreuz
07:21,RE 3342,Berlin Hbf (an 07:28),Berlin Südkreuz
07:23 (+1),EC 171,Praha hl.n. (an 11:27),Berlin Südkreuz
07:24 (+1),ICE 1606,Hamburg-Altona (an 09:39),Berlin Südkreuz
07:28 (+1),IC 2274,Rostock Hbf (an 09:36),Berlin Südkreuz
07:33 (+1),ICE 595,München Hbf (an 16:10),Berlin Südkreuz
07:36,RE 3506,St. Gallen(CH) (an 23:34),Berlin Südkreuz
07:41 (+1),ICE 701,München Hbf (an 12:42),Berlin Südkreuz
07:42,RB 18604,Berlin-Spandau (an 08:00),Berlin Südkreuz
07:44,RE 3303,Jüterbog (an 08:26),Berlin Südkreuz
07:46,RE 3169,Stendal Hbf (an 09:15),Berlin Südkreuz
07:52 (+3),IC 2074,Westerland(Sylt) (an 13:35),Berlin Südkreuz
07:52 (+3),IC 2076,Dagebüll Mole (an 13:53),Berlin Südkreuz
07:53,RE 62058,Elsterwerda (an 09:38),Berlin Südkreuz
07:56,FLX 1360,Hamburg Hbf (an 10:10),Berlin Südkreuz
08:02,RB 18506,Berlin-Spandau (an 08:22),Berlin Südkreuz
08:02,RE 62057,Berlin Hbf (an 08:09),Berlin Südkreuz
08:04 (+28),ICE 698,Berlin Hbf (an 08:10),Berlin Südkreuz
08:09,EN 40476,Berlin Hbf (an 08:14),Berlin Südkreuz
08:09,NJ 456,Berlin Hbf (an 08:14),Berlin Südkreuz
08:17,ICE 1974,Waren(Müritz) (an 09:56),Berlin Südkreuz
08:18 Ausfall,ICE 1003,Garmisch-Partenkirchen (an 13:43),Berlin Südkreuz
08:18 (+3),ICE 2913,München Hbf (an 12:02),Berlin Südkreuz
08:25,RE 3306,Berlin Hbf (an 08:32),Berlin Südkreuz
08:28,ICE 806,Hamburg-Altona (an 10:38),Berlin Südkreuz
08:33 (+1),IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),Berlin Südkreuz
08:33,RE 52173,Elsterwerda (an 09:55),Berlin Südkreuz
08:36,ICE 505,München Hbf (an 13:01),Berlin Südkreuz
08:36 (+1),RE 4354,Rostock Hbf (an 11:23),Berlin Südkreuz
08:39 (+5),ICE 870,Hamburg-Altona (an 11:30),Berlin Südkreuz
08:41,RE 3343,Lutherstadt Wittenberg Hbf (an 09:59),Berlin Südkreuz
08:42,RB 18606,Berlin-Spandau (an 09:00),Berlin Südkreuz
08:46 (+3),RE 3149,Berlin-Spandau (an 09:06),Berlin Südkreuz
08:52,ICE 1636,Ostseebad Binz (an 12:37),Berlin Südkreuz
09:02,RB 18508,Nauen (an 09:50),Berlin Südkreuz
09:04,RE 62059,Berlin Hbf (an 09:11),Berlin Südkreuz
09:07 (+1),ICE 837,Frankfurt(Main)Hbf (an 12:56),Berlin Südkreuz
09:11 (+2),ICE 1105,München Hbf (an 13:09),Berlin Südkreuz
09:20,RE 3344,Berlin Hbf (an 09:27),Berlin Südkreuz
09:23 (+1),EC 173,Budapest-Nyugati (an 20:28),Berlin Südkreuz
09:24 (+3),ICE 1604,Hamburg-Altona (an 11:39),Berlin Südkreuz
09:24 (+3),ICE 1714,Ostseebad Binz (an 13:35),Berlin Südkreuz
09:28 (+5),IC 2272,Rostock Hbf (an 11:37),Berlin Südkreuz
09:33 (+1),ICE 597,München Hbf (an 18:10),Berlin Südkreuz
09:35,RE 3508,Stralsund Hbf (an 12:51),Berlin Südkreuz
09:41 (+5),ICE 703,München Hbf (an 14:02),Berlin Südkreuz
09:41,RB 18608,Berlin-Spandau (an 10:00),Berlin Südkreuz
09:44,RE 3305,Jüterbog (an 10:26),Berlin Südkreuz
09:45,RE 3171,Stendal Hbf (an 11:14),Berlin Südkreuz
09:48 (+1),ICE 1008,Lübeck Hbf (an 12:41),Berlin Südkreuz
09:53,RE 62062,Elsterwerda (an 11:38),Berlin Südkreuz
10:02,RB 18510,Berlin-Spandau (an 10:22),Berlin Südkreuz
10:02,RE 62061,Berlin Hbf (an 10:09),Berlin Südkreuz
10:08,IC 2472,Ostseebad Binz (an 14:31),Berlin Südkreuz
10:11 (+2),ICE 93,Wien Hbf (an 17:47),Berlin Südkreuz
10:16,ICE 1972,Rostock Hbf (an 12:36),Berlin Südkreuz
10:17 (+1),ICE 804,Kiel Hbf (an 13:48),Berlin Südkreuz
10:24,RE 3308,Berlin Hbf (an 10:31),Berlin Südkreuz
10:27,ICE 696,Berlin Gesundbrunnen (an 10:48),Berlin Südkreuz
10:33 (+2),IC 2175,Dresden Hbf (an 12:27),Berlin Südkreuz
10:33,RE 52175,Elsterwerda (an 11:55),Berlin Südkreuz
10:36 (+2),ICE 507,München Hbf (an 15:04),Berlin Südkreuz
10:36,RE 4356,Rostock Hbf (an 13:23),Berlin Südkreuz
10:41,RB 18610,Berlin-Spandau (an 11:00),Berlin Südkreuz
10:41,RE 3345,Lutherstadt Wittenberg Hbf (an 11:59),Berlin Südkreuz
10:45,RE 3151,Rathenow (an 11:55),Berlin Südkreuz
10:50,ICE 1114,S+U Gesundbrunnen Bhf (an 11:07),Berlin Südkreuz
10:54 (+2),ICE 934,Hamburg-Altona (an 13:24),Berlin Südkreuz
11:01,RB 18512,Berlin-Spandau (an 11:22),Berlin Südkreuz
11:04,RE 62063,Berlin Hbf (an 11:11),Berlin Südkreuz
11:08 (+1),ICE 839,Frankfurt(Main)Hbf (an 14:56),Berlin Südkreuz
11:11 (+1),ICE 1107,München Hbf (an 15:08),Berlin Südkreuz
11:14 (+1),RE 3150,Falkenberg(Elster) (an 12:34),Berlin Südkreuz
11:19,RE 3346,Berlin Hbf (an 11:25),Berlin Südkreuz
11:23 (+20),EC 379,Praha hl.n. (an 15:23),Berlin Südkreuz
11:24 (+4),ICE 602,Hamburg-Altona (an 13:41),Berlin Südkreuz
11:27 (+14),IC 2270,Rostock Hbf (an 13:37),Berlin Südkreuz
11:33,ICE 1217,Innsbruck Hbf (an 22:14),Berlin Südkreuz
11:35 (+1),ICE 1006,Hamburg-Altona (an 14:04),Berlin Südkreuz
11:36,RE 3510,Stralsund Hbf (an 14:51),Berlin Südkreuz
11:41 (+2),ICE 705,München Hbf (an 16:42),Berlin Südkreuz
11:41,RB 18612,Berlin-Spandau (an 12:00),Berlin Südkreuz
11:44,RE 3307,Großbeeren (an 11:57),Berlin Südkreuz
11:49,RE 3173,Stendal Hbf (an 13:14),Berlin Südkreuz
11:53,RE 62066,Elsterwerda (an 13:38),Berlin Südkreuz
12:02,RB 18514,Berlin-Spandau (an 12:22),Berlin Südkreuz
12:02,RE 62065,Berlin Hbf (an 12:09),Berlin Südkreuz
12:11 Ausfall,ICE 1005,München Hbf (an 16:01),Berlin Südkreuz
12:11 (+53),ICE 2945,München Hbf (an 16:01),Berlin Südkreuz
12:14,RE 3170,Jüterbog (an 12:56),Berlin Südkreuz
12:16,ICE 1978,Waren(Müritz) (an 13:56),Berlin Südkreuz
12:17 (+1),ICE 802,Hamburg-Altona (an 14:38),Berlin Südkreuz
12:24,RE 3310,Berlin Hbf (an 12:31),Berlin Südkreuz
12:29,ICE 694,Berlin Hbf (an 12:34),Berlin Südkreuz
12:33 (+1),IC 2177,Dresden Hbf (an 14:27),Berlin Südkreuz
12:33,RE 52177,Elsterwerda (an 13:55),Berlin Südkreuz
12:36 (+1),ICE 509,München Hbf (an 17:01),Berlin Südkreuz
12:36 (+1),RE 4358,Rostock Hbf (an 15:23),Berlin Südkreuz
12:38 (+41),EC 176,Hamburg-Altona (an 15:24),Berlin Südkreuz
12:41,RB 18614,Berlin-Spandau (an 13:00),Berlin Südkreuz
12:41 (+1),RE 3347,Lutherstadt Wittenberg Hbf (an 13:59),Berlin Südkreuz
12:41,RE 3536,Lutherstadt Wittenberg Hbf (an 13:59),Berlin Südkreuz
12:45,RE 3153,Rathenow (an 13:55),Berlin Südkreuz
12:50,ICE 1112,Berlin Hbf (an 12:56),Berlin Südkreuz
12:52 (+9),ICE 932,Berlin Hbf (an 12:57),Berlin Südkreuz
13:01,RB 18516,Berlin-Spandau (an 13:22),Berlin Südkreuz
13:04,RE 62067,Berlin Hbf (an 13:11),Berlin Südkreuz
13:07 (+2),ICE 931,Frankfurt(Main)Hbf (an 16:56),Berlin Südkreuz
13:11 (+1),ICE 1109,München Hbf (an 17:10),Berlin Südkreuz
13:14 (+1),RE 3152,Falkenberg(Elster) (an 14:34),Berlin Südkreuz
13:19 (+6),RE 3348,Berlin Hbf (an 13:26),Berlin Südkreuz
13:23 (+1),EC 175,Praha hl.n. (an 17:23),Berlin Südkreuz
13:24 (+5),ICE 1600,Hamburg-Altona (an 16:18),Berlin Südkreuz
13:24 (+5),ICE 1710,Ostseebad Binz (an 17:36),Berlin Südkreuz
13:28 (+10),IC 2178,Rostock Hbf (an 15:37),Berlin Südkreuz
13:33 (+13),ICE 691,München Hbf (an 22:14),Berlin Südkreuz
13:36,RE 3512,Stralsund Hbf (an 16:51),Berlin Südkreuz
13:40,RB 18616,Berlin-Spandau (an 14:00),Berlin Südkreuz
13:41 (+2),ICE 707,München Hbf (an 18:03),Berlin Südkreuz
13:44,RE 3309,Jüterbog (an 14:26),Berlin Südkreuz
13:45,RE 3175,Stendal Hbf (an 15:14),Berlin Südkreuz
13:47,ICE 1694,Berlin Hbf (an 13:53),Berlin Südkreuz
13:47 (+4),ICE 94,Hamburg-Altona (an 16:20),Berlin Südkreuz
13:53,RE 62070,Elsterwerda (an 15:38),Berlin Südkreuz
14:02,RB 18518,Berlin-Spandau (an 14:22),Berlin Südkreuz
14:02,RE 62069,Berlin Hbf (an 14:11),Berlin Südkreuz
14:04 (+10),FLX 1363,Leipzig Hbf (an 15:15),Berlin Südkreuz
14:11 (+2),ICE 1695,München Hbf (an 19:17),Berlin Südkreuz
14:11 (+3),ICE 95,Wien Hbf (an 21:47),Berlin Südkreuz
14:17 (+1),ICE 800,Hamburg-Altona (an 16:38),Berlin Südkreuz
14:24,RE 3312,Berlin Hbf (an 14:31),Berlin Südkreuz
14:27,ICE 692,Berlin Gesundbrunnen (an 14:44),Berlin Südkreuz
14:33 (+3),IC 2179,Dresden Hbf (an 16:27),Berlin Südkreuz
14:33,RE 52179,Elsterwerda (an 15:55),Berlin Südkreuz
14:36 (+4),ICE 1601,München Hbf (an 19:03),Berlin Südkreuz
14:36 (+4),ICE 1711,München Hbf (an 19:03),Berlin Südkreuz
14:36 (+5),RE 4360,Rostock Hbf (an 17:23),Berlin Südkreuz
14:38 (+31),EC 174,Flensburg (an 19:07),Berlin Südkreuz
14:41,RB 18618,Berlin-Spandau (an 15:00),Berlin Südkreuz
14:41,RE 3349,Lutherstadt Wittenberg Hbf (an 15:59),Berlin Südkreuz
14:45,RE 3155,Rathenow (an 15:55),Berlin Südkreuz
14:50,ICE 1110,Berlin Hbf (an 14:56),Berlin Südkreuz
15:01,RB 18520,Berlin-Spandau (an 15:22),Berlin Südkreuz
15:04,RE 62071,Berlin Hbf (an 15:11),Berlin Südkreuz
15:08 (+1),ICE 933,Frankfurt(Main)Hbf (an 18:56),Berlin Südkreuz
15:11 (+1),ICE 1111,München Hbf (an 19:11),Berlin Südkreuz
15:19 (+8),RE 3350,Berlin Hbf (an 15:26),Berlin Südkreuz
15:23 (+2),EC 177,Praha hl.n. (an 19:23),Berlin Südkreuz
15:24 (+5),ICE 508,Hamburg-Altona (an 17:40),Berlin Südkreuz
15:27 (+7),IC 2176,Rostock Hbf (an 17:36),Berlin Südkreuz
15:33 (+1),ICE 693,München Hbf (an 00:12),Berlin Südkreuz
15:35 (+25),ICE 1004,Hamburg-Altona (an 18:12),Berlin Südkreuz
15:36 (+2),RE 3514,Stralsund Hbf (an 18:51),Berlin Südkreuz
15:41 (+1),ICE 709,München Hbf (an 20:42),Berlin Südkreuz
15:41,RB 18620,Nauen (an 16:33),Berlin Südkreuz
15:44 (+2),RE 3311,Jüterbog (an 16:26),Berlin Südkreuz
15:49,RE 3177,Stendal Hbf (an 17:14),Berlin Südkreuz
15:53,RE 62074,Elsterwerda (an 17:38),Berlin Südkreuz
15:53,RE 94592,Elsterwerda (an 17:38),Berlin Südkreuz
16:02,RB 18522,Nauen (an 16:50),Berlin Südkreuz
16:02,RE 62073,Berlin Hbf (an 16:11),Berlin Südkreuz
16:17 (+2),ICE 708,Hamburg-Altona (an 18:38),Berlin Südkreuz
16:18 (+1),ICE 1007,München Hbf (an 20:02),Berlin Südkreuz
16:24,RE 3314,Berlin Hbf (an 16:31),Berlin Südkreuz
16:27 (+76),ICE 690,Rostock Hbf (an 18:36),Berlin Südkreuz
16:33 (+1),IC 2271,Chemnitz Hbf (an 19:31),Berlin Südkreuz
16:33,RE 52271,Elsterwerda (an 17:55),Berlin Südkreuz
16:36 (+2),ICE 603,München Hbf (an 21:03),Berlin Südkreuz
16:36 (+1),RE 4362,Rostock Hbf (an 19:23),Berlin Südkreuz
16:38 (+16),EC 378,Kiel Hbf (an 20:22),Berlin Südkreuz
16:41,RB 18622,Nauen (an 17:33),Berlin Südkreuz
16:41,RE 3351,Lutherstadt Wittenberg Hbf (an 17:59),Berlin Südkreuz
16:45 (+1),RE 3157,Rathenow (an 17:55),Berlin Südkreuz
16:50,ICE 1108,Berlin Hbf (an 16:56),Berlin Südkreuz
17:02,RB 18524,Nauen (an 17:50),Berlin Südkreuz
17:04,RE 62075,Berlin Hbf (an 17:11),Berlin Südkreuz
17:08,ICE 935,Saarbrücken Hbf (an 23:29),Berlin Südkreuz
17:11 (+1),ICE 1113,München Hbf (an 21:12),Berlin Südkreuz
17:14 (+1),RE 3156,Falkenberg(Elster) (an 18:34),Berlin Südkreuz
17:20,RE 3352,Berlin Hbf (an 17:27),Berlin Südkreuz
17:23 (+1),EC 179,Praha hl.n. (an 21:23),Berlin Südkreuz
17:25,ICE 506,Hamburg-Altona (an 19:40),Berlin Südkreuz
17:28 (+2),IC 2174,Rostock Hbf (an 19:36),Berlin Südkreuz
17:33 (+1),ICE 695,München Hbf (an 02:19),Berlin Südkreuz
17:35,ICE 1070,Stralsund Hbf (an 20:46),Berlin Südkreuz
17:35 (+2),RE 3516,Stralsund Hbf (an 20:51),Berlin Südkreuz
17:41 (+1),ICE 801,München Hbf (an 23:00),Berlin Südkreuz
17:41,RB 18624,Nauen (an 18:33),Berlin Südkreuz
17:44,RE 3313,Jüterbog (an 18:26),Berlin Südkreuz
17:45,RE 26117,Stendal Hbf (an 19:15),Berlin Südkreuz
17:45 (+13),RE 3179,Stendal Hbf (an 19:15),Berlin Südkreuz
17:47 (+1),ICE 92,Hamburg-Altona (an 20:13),Berlin Südkreuz
17:53,RE 62078,Elsterwerda (an 19:38),Berlin Südkreuz
17:56,FLX 1366,Hamburg Hbf (an 20:10),Berlin Südkreuz
18:02,RB 18526,Nauen (an 18:50),Berlin Südkreuz
18:02,RE 62077,Berlin Hbf (an 18:12),Berlin Südkreuz
18:11 (+1),RE 3176,Jüterbog (an 18:56),Berlin Südkreuz
18:17 (+1),ICE 706,Hamburg-Altona (an 20:38),Berlin Südkreuz
18:18 (+2),ICE 1009,München Hbf (an 22:02),Berlin Südkreuz
18:24,RE 3316,Berlin Hbf (an 18:31),Berlin Südkreuz
18:27 (+56),ICE 1218,S+U Gesundbrunnen Bhf (an 18:44),Berlin Südkreuz
18:33 (+7),IC 2273,Chemnitz Hbf (an 21:31),Berlin Südkreuz
18:33,RE 52273,Elsterwerda (an 19:55),Berlin Südkreuz
18:36 (+1),ICE 1605,München Hbf (an 23:05),Berlin Südkreuz
18:36 (+3),RE 4364,Rostock Hbf (an 21:23),Berlin Südkreuz
18:38 (+2),EC 172,Hamburg-Altona (an 21:35),Berlin Südkreuz
18:41,RB 18626,Nauen (an 19:33),Berlin Südkreuz
18:41,RE 3353,Lutherstadt Wittenberg Hbf (an 19:59),Berlin Südkreuz
18:45 (+2),RE 3159,Rathenow (an 19:55),Berlin Südkreuz
18:50,ICE 1106,Berlin Hbf (an 18:56),Berlin Südkreuz
18:52 (+59),ICE 836,Berlin Gesundbrunnen (an 19:12),Berlin Südkreuz
18:56,RE 62080,Finsterwalde(Niederlausitz) (an 20:34),Berlin Südkreuz
19:01,RB 18528,Nauen (an 19:50),Berlin Südkreuz
19:04,RE 62079,Berlin Hbf (an 19:11),Berlin Südkreuz
19:07 (+1),ICE 2937,Frankfurt(Main)Hbf (an 23:29),Berlin Südkreuz
19:07 Ausfall,ICE 937,Frankfurt(Main)Hbf (an 23:29),Berlin Südkreuz
19:11 (+1),ICE 1115,München Hbf (an 23:09),Berlin Südkreuz
19:14 (+8),RE 3158,Falkenberg(Elster) (an 20:34),Berlin Südkreuz
19:20,RE 3354,Berlin Hbf (an 19:27),Berlin Südkreuz
19:23 (+2),ICE 871,Dresden Hbf (an 21:07),Berlin Südkreuz
19:25 (+4),ICE 504,Hamburg-Altona (an 21:39),Berlin Südkreuz
19:27 (+3),IC 2172,Rostock Hbf (an 21:36),Berlin Südkreuz
19:27 (+3),RE 52172,Berlin Hbf (an 19:32),Berlin Südkreuz
19:28 (+8),EN 40457,Budapest-Nyugati (an 08:29),Berlin Südkreuz
19:34 (+16),ICE 697,Frankfurt(Main)Hbf (an 00:44),Berlin Südkreuz
19:35,ICE 1002,Berlin Gesundbrunnen (an 20:00),Berlin Südkreuz
19:36 (+2),RE 3518,Stralsund Hbf (an 22:51),Berlin Südkreuz
19:38 (+3),ICE 803,Nürnberg Hbf (an 23:09),Berlin Südkreuz
19:41,RB 18628,Nauen (an 20:33),Berlin Südkreuz
19:44,RE 3371,Ludwigsfelde (an 20:07),Berlin Südkreuz
19:49,RE 3181,Stendal Hbf (an 21:26),Berlin Südkreuz
19:53,RE 62082,Elsterwerda (an 21:38),Berlin Südkreuz
20:02,RB 18530,Nauen (an 20:50),Berlin Südkreuz
20:02,RE 62081,Berlin Hbf (an 20:09),Berlin Südkreuz
20:10 (+6),ICE 1019,München Hbf (an 00:01),Berlin Südkreuz
20:14,RE 3178,Jüterbog (an 20:56),Berlin Südkreuz
20:17 (+1),ICE 704,Hamburg Hbf (an 22:22),Berlin Südkreuz
20:24 (+1),RE 3318,Berlin Hbf (an 20:31),Berlin Südkreuz
20:27 (+18),ICE 596,Berlin Gesundbrunnen (an 20:43),Berlin Südkreuz
20:33 (+1),IC 2275,Dresden Hbf (an 22:27),Berlin Südkreuz
20:33,RE 17,Elsterwerda (an 21:55),Berlin Südkreuz
20:33,RE 52275,Elsterwerda (an 21:55),Berlin Südkreuz
20:36 (+25),ICE 1607,Bamberg/Vorplatz (an 23:19),Berlin Südkreuz
20:36 (+1),RE 4366,Rostock Hbf (an 23:23),Berlin Südkreuz
20:41,RB 18630,Nauen (an 21:32),Berlin Südkreuz
20:41,RE 3355,Lutherstadt Wittenberg Hbf (an 21:56),Berlin Südkreuz
20:45,RE 3161,Rathenow (an 21:52),Berlin Südkreuz
20:50 Ausfall,ICE 1104,Berlin Hbf (an 20:56),Berlin Südkreuz
20:50,ICE 2914,Berlin Hbf (an 20:56),Berlin Südkreuz
20:56,RE 62084,Baruth(Mark) (an 21:53),Berlin Südkreuz
21:02,RB 18532,Nauen (an 21:50),Berlin Südkreuz
21:04,RE 62083,Berlin Hbf (an 21:11),Berlin Südkreuz
