Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
07:13 (+11),07:24,RJ 387,Praha hl.n. (an 11:25),
10:34 (+28),11:02,RJ 384,København H (an 18:16),
11:28,11:28,RJ 175,Budapest-Nyugati (an 22:28),
13:28 (+6),13:34,RJ 383,Praha hl.n. (an 17:25),
14:34 (+10),14:44,RJ 382,København H (an 22:16),
17:28 (+60),18:28,RJ 385,Praha hl.n. (an 21:25),
18:34 (+5),18:39,RJ 174,Kiel Hbf (an 21:40),
20:13,20:13,EN 40457,Budapest-Nyugati (an 08:29),
20:34,20:34,RJ 386,København H (an 06:18),1
21:11,21:11,Snälltåget 21170,Malmö Central (an 06:30),
