Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:10,RB 21962,Berlin-Charlottenburg (an 00:26),2
00:15,RE 73826,Berlin Zoologischer Garten (an 00:28),2
00:48,RB 94796,Berlin Hbf (an 00:53),
00:48,RE 1,Bremen Hbf (an 23:05),
00:58,RB 21968,Berlin-Charlottenburg (an 01:13),2
01:00,RE 3140,Cottbus Hbf (an 03:00),1
01:43,RE 73752,Berlin Zoologischer Garten (an 01:56),2
01:49,RE 21800,Berlin Hbf (an 01:54),
01:50,RB 21969,Naumburg(Saale)Hbf (an 14:13),1
02:49,RB 21802,Berlin Hbf (an 02:54),
04:08,RB 91521,Berlin Hbf (an 04:13),
04:08,RE 3705,Lübben(Spreewald) (an 04:50),
04:17,RE 73751,Frankfurt(Oder) (an 05:29),
04:27,RE 2,Mainz Hbf (an 22:08),
04:27,RE 3101,Hennigsdorf(b Berlin) (an 05:23),2
04:37,RE 73801,Frankfurt(Oder) (an 05:36),
04:53,RE 91510,Lübbenau(Spreewald) (an 06:03),
04:56,RE 94716,Berlin Zoologischer Garten (an 05:08),2
05:08 (+2),RE 3707,Dessau Hbf (an 06:53),2
05:29,RE 3103,Hennigsdorf(b Berlin) (an 06:23),2
05:33,RE 3102,Cottbus Hbf (an 06:56),1
05:54,RE 93719,Berlin Hbf (an 05:59),
05:54,RE 94718,Berlin Zoologischer Garten (an 06:07),2
06:06,RE 94713,Frankfurt(Oder) (an 07:18),1
06:08 (+1),RB 93009,Dessau Hbf (an 07:53),2
06:08,RE 93009,Berlin-Wannsee (an 06:34),
06:29,RE 3105,Hennigsdorf(b Berlin) (an 07:23),2
06:33,RE 3104,Cottbus Hbf (an 07:57),1
06:53 (+1),RE 3706,Senftenberg (an 08:41),1
06:54,RE 94720,Berlin Zoologischer Garten (an 07:07),2
07:06,RE 94715,Frankfurt(Oder) (an 08:20),1
07:08 (+15),RE 3711,Dessau Hbf (an 08:53),2
07:29 (+8),RE 3107,Hennigsdorf(b Berlin) (an 08:23),2
07:33,RE 3106,Cottbus Hbf (an 08:56),1
07:44,RB 18146,Berlin-Wannsee (an 08:10),2
07:53,RE 3708,Senftenberg (an 09:41),1
07:54,RE 94722,Berlin Zoologischer Garten (an 08:07),
08:06,RE 94717,Frankfurt(Oder) (an 09:18),1
08:08 (+2),RE 3713,Dessau Hbf (an 09:53),2
08:17,RB 18145,Berlin Ostbahnhof (an 08:21),1
08:29,RE 3109,Hennigsdorf(b Berlin) (an 09:23),2
08:33,RE 3108,Cottbus Hbf (an 09:55),1
08:44,RB 18148,Berlin-Wannsee (an 09:10),2
08:53,RE 3710,Senftenberg (an 10:41),1
08:54,RE 94724,Berlin Zoologischer Garten (an 09:07),
09:06,RE 94719,Frankfurt(Oder) (an 10:18),1
09:08 (+1),RE 3715,Dessau Hbf (an 10:53),2
09:17,RB 18147,Berlin Ostbahnhof (an 09:21),1
09:29,RE 3111,Hennigsdorf(b Berlin) (an 10:23),2
09:33,RE 3110,Cottbus Hbf (an 10:55),1
09:44,RB 18150,Berlin-Wannsee (an 10:10),2
09:53 (+11),RE 3712,Senftenberg (an 11:41),1
09:54,RE 94726,Berlin Zoologischer Garten (an 10:07),
10:06,RE 94721,Frankfurt(Oder) (an 11:18),1
10:08 (+3),RE 3717,Dessau Hbf (an 11:53),2
10:17,RB 18149,Berlin Ostbahnhof (an 10:21),1
10:32 (+27),RE 3113,Hennigsdorf(b Berlin) (an 11:23),2
10:33,RE 3112,Cottbus Hbf (an 11:55),1
10:53 (+9),RE 3714,Senftenberg (an 12:41),1
10:54,RE 94728,Berlin Zoologischer Garten (an 11:07),2
11:06,RE 94723,Frankfurt(Oder) (an 12:18),
11:08 (+8),RE 3719,Dessau Hbf (an 12:53),2
11:29,RE 3115,Hennigsdorf(b Berlin) (an 12:23),2
11:33,RE 3114,Cottbus Hbf (an 12:55),1
11:53,RE 3716,Senftenberg (an 13:41),1
11:54,RE 94730,Berlin Hbf (an 11:59),
12:06,RE 94725,Frankfurt(Oder) (an 13:18),1
12:08 (+18),RE 3721,Dessau Hbf (an 13:53),2
12:29,RE 3117,Hennigsdorf(b Berlin) (an 13:25),2
12:33,RE 3116,Cottbus Hbf (an 13:55),1
12:53,RE 3718,Senftenberg (an 14:41),1
12:54,RE 94732,Berlin Zoologischer Garten (an 13:07),2
13:06,RE 94727,Frankfurt(Oder) (an 14:18),
13:08 (+3),RE 3723,Dessau Hbf (an 14:53),2
13:29,RE 3119,Hennigsdorf(b Berlin) (an 14:23),2
13:33,RE 3118,Cottbus Hbf (an 14:55),1
13:53 (+1),RE 3720,Senftenberg (an 15:41),1
13:54,RE 94734,Berlin Zoologischer Garten (an 14:07),
14:06,RE 94729,Frankfurt(Oder) (an 15:18),
14:08 (+12),RE 3725,Dessau Hbf (an 15:53),2
14:31,RE 3121,Hennigsdorf(b Berlin) (an 15:23),2
14:33 (+1),RE 3120,Cottbus Hbf (an 15:55),1
14:44,RB 18160,Berlin-Wannsee (an 15:10),2
14:53 (+1),RE 3722,Senftenberg (an 16:41),1
14:54,RE 94736,Berlin Zoologischer Garten (an 15:07),
15:06,RE 94731,Frankfurt(Oder) (an 16:18),1
15:08 (+24),RE 3727,Dessau Hbf (an 16:53),2
15:17,RB 18159,Berlin Ostbahnhof (an 15:21),1
15:29,RE 3123,Hennigsdorf(b Berlin) (an 16:23),2
15:33 (+11),RE 3122,Cottbus Hbf (an 16:55),1
15:44,RB 18162,Berlin-Wannsee (an 16:10),2
15:53 (+8),RE 3724,Senftenberg (an 17:41),1
15:54,RB 94738,Berlin Hbf (an 15:59),
15:54,RE 94738,Berlin Hbf (an 15:59),
16:06 (+1),RE 94733,Frankfurt(Oder) (an 17:18),1
16:08 (+1),RE 3729,Dessau Hbf (an 17:53),2
16:17,RB 18161,Berlin Ostbahnhof (an 16:21),1
16:29 (+3),RE 3125,Hennigsdorf(b Berlin) (an 17:23),2
16:33,RE 3124,Cottbus Hbf (an 17:55),1
16:44,RB 18164,Berlin-Wannsee (an 17:10),2
16:53 (+5),RE 3726,Senftenberg (an 18:41),1
16:54,RB 94740,Berlin Hbf (an 16:59),
16:54,RE 94740,Berlin Hbf (an 16:59),
17:06,RE 94735,Frankfurt(Oder) (an 18:18),
17:08 (+5),RE 3731,Dessau Hbf (an 18:53),2
17:17,RB 18163,Berlin Ostbahnhof (an 17:21),1
17:29,RE 3127,Hennigsdorf(b Berlin) (an 18:23),2
17:33,RE 3126,Cottbus Hbf (an 18:55),1
17:44,RB 18166,Berlin-Wannsee (an 18:10),2
17:53,RE 3728,Senftenberg (an 19:41),1
17:54,RE 94742,Berlin Zoologischer Garten (an 18:07),
18:06,RE 94737,Frankfurt(Oder) (an 19:18),
18:08 (+3),RE 3733,Dessau Hbf (an 19:53),2
18:17,RB 18165,Berlin Ostbahnhof (an 18:21),1
18:29 (+4),RE 3129,Hennigsdorf(b Berlin) (an 19:23),2
18:33,RE 3128,Cottbus Hbf (an 19:55),1
18:53 (+6),RE 3730,Senftenberg (an 20:41),1
18:54,RE 94744,Berlin Hbf (an 18:59),
19:06,RB 94739,Frankfurt(Oder) (an 20:18),
19:06,RE 94739,Frankfurt(Oder) (an 20:18),
19:08 (+2),RE 3735,Dessau Hbf (an 20:53),2
19:29,RE 3131,Hennigsdorf(b Berlin) (an 20:23),2
19:33,RE 3130,Cottbus Hbf (an 20:55),1
19:34,RB 73822,Berlin Zoologischer Garten (an 19:46),2
19:34,RE 73822,Berlin Hbf (an 19:39),
19:53,RE 3732,Senftenberg (an 21:41),1
19:54,RE 94746,Berlin Zoologischer Garten (an 20:07),
20:06,RE 94741,Frankfurt(Oder) (an 21:18),
20:08,RE 3737,Dessau Hbf (an 21:53),2
20:21,RE 73823,Fürstenwalde(Spree) (an 21:05),1
20:29,RE 3133,Hennigsdorf(b Berlin) (an 21:23),2
20:33,RE 3132,Cottbus Hbf (an 21:55),1
20:53,RE 3734,Lübbenau(Spreewald) (an 22:04),1
20:54,RE 94748,Berlin Hbf (an 20:59),
21:08,RE 3739,Dessau Hbf (an 22:53),2
21:29,RE 3135,Hennigsdorf(b Berlin) (an 22:25),2
21:34,RE 3134,Cottbus Hbf (an 23:14),1
21:48,RE 91491,Berlin Hbf (an 21:53),
21:48,RE 94790,Berlin Zoologischer Garten (an 22:01),
22:10,RE 3741,Bad Belzig (an 23:19),2
22:10,RE 7,Münster(Westf)Hbf (an 23:22),
22:48,RB 94792,Berlin Hbf (an 22:53),
22:48,RE 91393,Berlin Hbf (an 22:53),
23:08,RE 3743,Berlin-Wannsee (an 23:34),
23:29,RE 3139,Berlin Zoologischer Garten (an 23:42),
23:29,RE 93139,Berlin Hbf (an 23:35),
23:59 (+13),RE 3138,Cottbus Hbf (an 01:40),1
