Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:14,RB 18176,Berlin Friedrichstr (ab 00:06),Berlin Zoologischer Garten
00:27 (+1),ICE 2401,Berlin Ostbahnhof (ab 00:11),Berlin Zoologischer Garten
00:32 (+1),RE 62038,Nauen (ab 00:04),Berlin Zoologischer Garten
00:46,RE 3100,Nauen (ab 00:08),Berlin Zoologischer Garten
00:46,RE 73797,Fangschleuse (ab 00:04),Berlin Zoologischer Garten
00:51 (+6),RE 3742,Brück(Mark) (ab 00:04),Berlin Zoologischer Garten
00:51,RE7,Brück(Mark) (ab 00:04),Berlin Zoologischer Garten
01:15,RE 73794,Genthin (ab 00:01),Berlin Zoologischer Garten
01:20,RE 62041,Flughafen BER (ab 00:40),Berlin Zoologischer Garten
01:25,RE 62045,Berlin Ostkreuz (ab 00:42),Berlin Zoologischer Garten
01:25,RE8,Berlin Ostkreuz (ab 00:42),Berlin Zoologischer Garten
01:46,RE 73753,Frankfurt(Oder) (ab 00:24),Berlin Zoologischer Garten
02:12,FEX19880,Flughafen BER (ab 01:15),Berlin Zoologischer Garten
02:12,RE FEX,Berlin Alexanderplatz (ab 01:55),Berlin Zoologischer Garten
02:20,RE 62047,Flughafen BER (ab 01:39),Berlin Zoologischer Garten
02:38,RE 62046,Nauen (ab 02:02),Berlin Zoologischer Garten
03:32,RE 62043,Flughafen BER (ab 02:41),Berlin Zoologischer Garten
04:19,RE 3749,Berlin Ostkreuz (ab 03:55),Berlin Zoologischer Garten
04:19,RE 94749,Berlin Ostkreuz (ab 03:55),Berlin Zoologischer Garten
04:24,RE 62001,Flughafen BER (ab 03:44),Berlin Zoologischer Garten
04:34,RE 62048,Nauen (ab 04:01),Berlin Zoologischer Garten
04:39,RE 3702,Bad Belzig (ab 03:41),Berlin Zoologischer Garten
04:42,RE 3101,Berlin Ostkreuz (ab 04:19),Berlin Zoologischer Garten
04:46,RE 73757,Berlin Ostkreuz (ab 04:25),Berlin Zoologischer Garten
05:07,RE 18540,Kirchmöser (ab 04:16),Berlin Zoologischer Garten
05:07,RE 73717,Frankfurt(Oder) (ab 03:44),Berlin Zoologischer Garten
05:07,RE 73754,Brandenburg Hbf (ab 04:17),Berlin Zoologischer Garten
05:16,RE 3102,Nauen (ab 04:36),Berlin Zoologischer Garten
05:19,RE 3707,Lübbenau(Spreewald) (ab 03:54),Berlin Zoologischer Garten
05:24,RE 62003,Flughafen BER (ab 04:44),Berlin Zoologischer Garten
05:26,RE 62000,Wittenberge (ab 04:06),Berlin Zoologischer Garten
05:30 (+25),ICE 2400,Berlin Wannsee (ab 05:19),Berlin Zoologischer Garten
05:38,RE 3704,Dessau Hbf (ab 04:05),Berlin Zoologischer Garten
05:42,RE 3103,Cottbus Hbf (ab 03:47),Berlin Zoologischer Garten
05:42,RE 95002,Berlin Ostbahnhof (ab 05:25),Berlin Zoologischer Garten
05:46,RE 3160,Berlin Ostkreuz (ab 05:25),Berlin Zoologischer Garten
05:46,RE 73759,Berlin Ostkreuz (ab 05:25),Berlin Zoologischer Garten
05:52,RE 73714,Brandenburg Hbf (ab 05:05),Berlin Zoologischer Garten
05:55,RB 18140,Flughafen BER (ab 05:13),Berlin Zoologischer Garten
05:58,RE 18754,Bad Belzig (ab 05:01),Berlin Zoologischer Garten
06:07,RE 73719,Eisenhüttenstadt (ab 04:26),Berlin Zoologischer Garten
06:07,RE 73756,Magdeburg Hbf (ab 04:19),Berlin Zoologischer Garten
06:16,RE 3104,Nauen (ab 05:37),Berlin Zoologischer Garten
06:19,RE 3709,Senftenberg (ab 04:14),Berlin Zoologischer Garten
06:25,RE 62005,Flughafen BER (ab 05:44),Berlin Zoologischer Garten
06:29,RE 73802,Brandenburg Hbf (ab 05:45),Berlin Zoologischer Garten
06:29,RE 73805,Frankfurt(Oder) (ab 05:18),Berlin Zoologischer Garten
06:32,RE 62002,Wittenberge (ab 05:06),Berlin Zoologischer Garten
06:39,RE 3706,Dessau Hbf (ab 05:05),Berlin Zoologischer Garten
06:42,RE 3105,Cottbus Hbf (ab 05:01),Berlin Zoologischer Garten
06:42,RE 95011,Berlin Ostbahnhof (ab 06:25),Berlin Zoologischer Garten
06:46,RE 73761,Frankfurt(Oder) (ab 05:26),Berlin Zoologischer Garten
06:52,RE 73716,Magdeburg Hbf (ab 05:12),Berlin Zoologischer Garten
06:55,RB 18142,Flughafen BER (ab 06:13),Berlin Zoologischer Garten
06:58,RE 18753,Berlin Ostbahnhof (ab 06:42),Berlin Zoologischer Garten
06:58,RE 18756,Bad Belzig (ab 06:01),Berlin Zoologischer Garten
07:03,RB 18145,Golm (ab 06:30),Berlin Zoologischer Garten
07:07,RE 18541,Brandenburg Hbf (ab 06:19),Berlin Zoologischer Garten
07:07,RE 73721,Eisenhüttenstadt (ab 05:36),Berlin Zoologischer Garten
07:07,RE 73758,Brandenburg Hbf (ab 06:19),Berlin Zoologischer Garten
07:16,RE 3106,Nauen (ab 06:37),Berlin Zoologischer Garten
07:25,RE 62007,Flughafen BER (ab 06:44),Berlin Zoologischer Garten
07:29,RE 73804,Magdeburg Hbf (ab 05:54),Berlin Zoologischer Garten
07:29,RE 73807,Berlin Ostbahnhof (ab 07:12),Berlin Zoologischer Garten
07:29,RE 90394,Berlin Ostbahnhof (ab 07:12),Berlin Zoologischer Garten
07:32,RE 62004,Wismar (ab 04:17),Berlin Zoologischer Garten
07:39,RE 3708,Dessau Hbf (ab 06:05),Berlin Zoologischer Garten
07:42,RE 3107,Cottbus Hbf (ab 06:08),Berlin Zoologischer Garten
07:42,RE 91846,Berlin Ostbahnhof (ab 07:25),Berlin Zoologischer Garten
07:46,RE 73763,Frankfurt(Oder) (ab 06:26),Berlin Zoologischer Garten
07:52,RE 73718,Brandenburg Hbf (ab 07:05),Berlin Zoologischer Garten
07:55,RB 18144,Flughafen BER (ab 07:13),Berlin Zoologischer Garten
07:58,RE 18755,Berlin Ostbahnhof (ab 07:41),Berlin Zoologischer Garten
07:58,RE 18758,Bad Belzig (ab 07:01),Berlin Zoologischer Garten
08:03,RB 18147,Golm (ab 07:30),Berlin Zoologischer Garten
08:07,RE 73723,Frankfurt(Oder) (ab 06:55),Berlin Zoologischer Garten
08:07,RE 73760,Magdeburg Hbf (ab 06:19),Berlin Zoologischer Garten
08:16,RE 3108,Nauen (ab 07:37),Berlin Zoologischer Garten
