Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:10,00:10,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:52),3
00:15 (+57),01:12,ICE 1500,München Hbf (ab 20:21),7
00:22 (+27),00:49,ICE 592,München Hbf (ab 16:45),6
00:22,00:22,RE 3,Gera Süd (ab 05:38),
04:53,04:53,RE 62040,Wustermark (ab 04:16),
05:08,05:08,RE 3302,Falkenberg(Elster) (ab 03:40),
05:15,05:15,RE 3144,Rathenow (ab 04:09),
05:21,05:21,RB 10,Berlin Hbf (ab 05:14),
05:24,05:24,RB 62050,Wünsdorf-Waldstadt (ab 04:50),7
05:29,05:29,RB 21814,Flughafen BER (ab 05:16),8
05:32,05:32,ICE 2593,Berlin Gesundbrunnen (ab 05:17),
05:40 (+1),05:41,ICE 1501,Berlin Gesundbrunnen (ab 05:26),5
05:42,05:42,RE 3167,Jüterbog (ab 05:02),7
05:43,05:43,RE 18501,Cottbus Hbf (ab 04:24),
05:49,05:49,RE 62000,Elstal (ab 05:07),3
05:56 (+5),06:01,ICE 701,Berlin Hbf (ab 05:52),5
06:05,06:05,RE 62005,Elsterwerda (ab 04:29),8
06:09,06:09,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:13,06:13,RE 3164,Stendal Hbf (ab 04:48),5
06:21,06:21,RB 62051,Wustermark (ab 05:39),3
06:29,06:29,RB 21822,Flughafen BER (ab 06:16),8
06:33,06:33,ICE 503,Berlin Gesundbrunnen (ab 06:16),5
06:34 (+11),06:45,ICE 904,München Hbf (ab 23:12),6
06:36,06:36,RB 62052,Rangsdorf (ab 06:21),8
06:40 (+1),06:41,ICE 1003,Berlin Hbf (ab 06:36),5
06:41 (+1),06:42,RE 3147,Falkenberg(Elster) (ab 05:14),6
06:43,06:43,RB 18503,Cottbus Hbf (ab 05:23),8
06:43,06:43,RE 18503,Cottbus Hbf (ab 05:23),8
06:47,06:47,RE 3301,Angermünde (ab 05:32),4
06:51,06:51,RE 62002,Elstal (ab 06:07),3
06:58,06:58,RE 21826,Flughafen BER (ab 06:46),8
07:04,07:04,RE 62007,Elsterwerda (ab 05:29),8
07:08,07:08,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),6
07:13,07:13,IC 60409,Zürich HB (ab 19:59),7
07:13,07:13,NJ 409,Zürich HB (ab 19:59),7
07:15 (+4),07:19,RE 3146,Stendal Hbf (ab 05:48),4
07:21,07:21,RB 62053,Wustermark (ab 06:39),3
07:22 (+2),07:24,ICE 606,Erfurt Hbf (ab 05:25),6
07:32,07:32,ICE 2823,Stuttgart Hbf (ab 13:17),
07:34 (+37),08:11,EN 40476,Budapest-Nyugati (ab 19:30),8
07:34 (+37),08:11,NJ 456,Graz Hbf (ab 19:21),8
07:35,07:35,RJ 387,Hamburg-Altona (ab 04:36),3
07:37,07:37,RB 62054,Rangsdorf (ab 07:23),
07:39,07:39,RE 3343,Schwedt(Oder) (ab 06:04),
07:40 (+2),07:42,ICE 1503,Berlin Gesundbrunnen (ab 07:26),5
07:42,07:42,RE 3169,Jüterbog (ab 07:02),6
07:43,07:43,RB 18505,Cottbus Hbf (ab 06:12),8
07:43,07:43,RE 18505,Cottbus Hbf (ab 06:12),
07:49,07:49,RE 62004,Elstal (ab 07:07),3
07:58,07:58,ICE 698,München Hbf (ab 22:46),6
07:58,07:58,ICE 703,Berlin Gesundbrunnen (ab 07:41),5
08:02 (+1),08:03,FLX 1235,Berlin Hbf (ab 07:57),4
08:05,08:05,RE 62009,Elsterwerda (ab 06:40),8
08:09,08:09,RE 3344,Halle(Saale)Hbf (ab 05:46),
08:13,08:13,RE 3166,Stendal Hbf (ab 06:47),5
08:14,08:14,RB 18504,Berlin Hbf (ab 08:07),
08:20,08:20,RJ 870,Dresden Hbf (ab 06:42),8
08:21,08:21,RB 62055,Wustermark (ab 07:39),5
08:23,08:23,ICE 806,Erfurt Hbf (ab 06:30),6
08:26,08:26,DRF 1320,Dresden Hbf (ab 06:53),7
08:26 (+1),08:27,FLX 1320,Dresden Hbf (ab 06:53),7
08:33 (+4),08:37,ICE 505,Hamburg-Altona (ab 05:34),5
08:36,08:36,RB 62056,Rangsdorf (ab 08:21),8
