Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:12,00:12,RB 62086,Berlin-Spandau (an 00:35),
00:16,00:16,RE 3366,Eberswalde Hbf (an 01:04),3
00:43,00:43,RE 3,Dresden-Neustadt (an 22:35),
00:43,00:43,RE 3363,Halle(Saale)Hbf (an 03:12),2
00:56,00:56,RB 21967,Naumburg(Saale)Hbf (an 12:50),1
01:57,01:57,RE 3362,Eberswalde Hbf (an 02:48),3
04:50,04:50,RE 62040,Elsterwerda (an 06:29),
04:50,04:50,RE 62052,Elsterwerda (an 06:29),
05:05,05:05,RB 56801,Schwerin Hbf (an 07:48),3
05:05,05:05,RE 56801,Schwerin Hbf (an 07:48),
05:15,05:15,RE 3302,Stralsund Hbf (an 08:45),3
05:35,05:35,RE 3341,Luckenwalde (an 06:27),1
05:41,05:41,RE 3504,Stralsund Hbf (an 08:51),3
05:42,05:42,RB 62050,Berlin-Spandau (an 05:59),
05:48,05:48,RE 3167,Stendal Hbf (an 07:13),
05:50,05:50,RB 18501,Berlin Hbf (an 05:53),4
06:03,06:03,RB 18500,Lübbenau(Spreewald) (an 07:18),1
06:03,06:03,RE 20,Cottbus Hbf (an 22:48),
06:12,06:12,RE 62005,Berlin-Spandau (an 06:35),
06:16,06:16,RE 3342,Schwedt(Oder) (an 07:55),3
06:18,06:18,RE 3503,Sargans (an 22:24),2
06:41,06:41,RE 4352,Rostock Hbf (an 09:21),3
06:42,06:42,RB 62052,Berlin-Spandau (an 06:59),
06:43,06:43,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),
06:47,06:47,RE 3147,Berlin-Spandau (an 07:04),
06:48,06:48,RE 62002,Elsterwerda (an 08:31),1
06:50,06:50,RB 18503,Berlin Hbf (an 06:53),4
07:04,07:04,RB 18502,Lübbenau(Spreewald) (an 08:15),1
07:10,07:10,RE 62007,Elstal (an 07:53),4
07:12,07:12,RE 3146,Herzberg(Elster) (an 08:31),2
07:15,07:15,RE 3304,Stralsund Hbf (an 10:44),3
07:17,07:17,RB 62053,Berlin Südkreuz (an 07:21),1
07:17,07:17,RE 4353,Berlin Südkreuz (an 07:23),2
07:35,07:35,RE 3343,Luckenwalde (an 08:27),1
07:40,07:40,RE 3506,St. Gallen(CH) (an 23:34),3
07:43,07:43,RB 62054,Berlin-Spandau (an 07:59),
07:46,07:46,RE 62004,Baruth(Mark) (an 08:36),1
07:49,07:49,RE 3169,Stendal Hbf (an 09:30),3
07:50,07:50,RB 18505,Berlin Hbf (an 07:53),4
08:04,08:04,RB 18504,Lübbenau(Spreewald) (an 09:15),1
08:10,08:10,RE 3166,Jüterbog (an 08:54),2
08:12,08:12,RE 62009,Elstal (an 08:49),4
08:16,08:16,RE 3344,Schwedt(Oder) (an 09:55),3
08:17,08:17,RB 62055,Berlin Südkreuz (an 08:21),1
08:19,08:19,RE 3505,Sargans (an 23:24),2
08:41 (+1),08:42,RE 4354,Rostock Hbf (an 11:21),3
08:42,08:42,RB 62056,Berlin-Spandau (an 08:59),
08:43,08:43,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),2
08:47,08:47,RE 3149,Rathenow (an 09:54),3
08:48,08:48,RE 62006,Elsterwerda (an 10:31),
08:50,08:50,RB 18507,Berlin Hbf (an 08:53),4
09:04,09:04,RB 18506,Lübbenau(Spreewald) (an 10:15),1
09:10,09:10,RE 62011,Berlin-Spandau (an 09:41),
09:15,09:15,RE 3306,Stralsund Hbf (an 12:44),3
09:17,09:17,RE 4355,Berlin Südkreuz (an 09:23),2
09:35,09:35,RE 3345,Luckenwalde (an 10:27),1
09:41,09:41,RE 3508,Stralsund Hbf (an 12:51),3
09:42,09:42,RB 62058,Wustermark (an 10:18),
09:48,09:48,RE 3171,Schorndorf (an 18:09),3
09:50,09:50,RB 18509,Berlin Hbf (an 09:53),4
10:04,10:04,RB 18508,Lübbenau(Spreewald) (an 11:15),1
10:05,10:05,RB 21850,Berlin Hbf (an 10:08),4
10:10,10:10,RE 3168,Jüterbog (an 10:54),2
10:12,10:12,RE 62013,Elstal (an 10:49),4
10:16,10:16,RE 3346,Schwedt(Oder) (an 11:55),3
