Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:04,00:04,ICE 947,Düsseldorf Hbf (ab 19:50),5
00:21 (+2),00:23,RE 62038,Nauen (ab 00:05),
00:28,00:28,RE 95788,Braunschweig Hbf (ab 22:20),
01:03,01:03,RE 3165,Berlin Hbf (ab 00:53),3
01:39 (+1),01:40,ICE 274,Basel SBB (ab 18:16),6
02:34,02:34,RB 62089,Nauen (ab 02:11),
03:08,03:08,RB 10,Berlin Hbf (ab 02:57),
03:08,03:08,RE 62090,Berlin Hbf (ab 02:57),
04:16,04:16,RB 18241,Berlin Gesundbrunnen (ab 04:02),
04:27,04:27,RE 62040,Nauen (ab 04:03),6
04:33 (+1),04:34,RE 62001,Berlin Hbf (ab 04:22),3
04:33,04:33,RE 8,Paulinenaue (ab 00:08),
04:38 (+1),04:39,ICE 646,Berlin Südkreuz (ab 04:18),4
04:38 (+1),04:39,ICE 656,Hannover Hbf (ab 06:40),
04:42,04:42,ICE 277,Berlin Südkreuz (ab 04:25),3
04:52,04:52,RE 3144,Rathenow (ab 04:09),6
04:53,04:53,RE 3101,Berlin Gesundbrunnen (ab 04:38),3
05:04,05:04,RE 3102,Nauen (ab 04:39),5
05:04,05:04,RE 3145,Berlin Hbf (ab 04:54),4
05:04,05:04,RE 4,Berlin Jungfernheide (ab 05:00),
05:13 (+3),05:16,RE 3604,Berlin-Charlottenburg (ab 05:06),3
05:20,05:20,RE 62000,Wittenberge (ab 04:05),5
05:27,05:27,RB 18240,Potsdam Hbf (ab 04:36),5
05:28,05:28,RB 18243,Berlin Gesundbrunnen (ab 05:14),
05:35,05:35,RB 18601,Nauen (ab 05:11),
05:35,05:35,RE 62003,Baruth(Mark) (ab 04:19),4
05:42 (+1),05:43,RE 3601,Velten(Mark) (ab 04:58),
05:45 (+11),05:56,ICE 946,Berlin Südkreuz (ab 05:26),4
05:45 (+11),05:56,ICE 956,Berlin Südkreuz (ab 05:26),4
05:52,05:52,RE 3103,Cottbus Hbf (ab 04:00),
05:52 (+1),05:53,RE 3164,Stendal Hbf (ab 04:48),
05:52,05:52,RE 92303,Cottbus Hbf (ab 04:00),
06:04,06:04,RE 3104,Nauen (ab 05:39),
06:04 (+1),06:05,RE 3167,Jüterbog (ab 05:02),4
06:13,06:13,RE 3606,Berlin-Charlottenburg (ab 06:02),3
06:20,06:20,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),6
06:20 (+20),06:40,ICE 2972,Frankfurt(Main)Hbf (ab 23:35),
06:20,06:20,RE 62002,Wittenberge (ab 05:05),5
06:24,06:24,ICE 240,Berlin Südkreuz (ab 06:05),3
06:27,06:27,RB 18242,Potsdam Hbf (ab 05:36),
06:28,06:28,RE 95770,Braunschweig Hbf (ab 04:20),
06:35,06:35,RB 18603,Nauen (ab 06:11),
06:35,06:35,RE 62005,Elsterwerda (ab 04:29),3
06:43 (+1),06:44,ICE 279,Berlin Südkreuz (ab 06:20),4
06:43,06:43,RE 3603,Wittstock(Dosse) (ab 04:52),
06:43 (+1),06:44,RE 3605,Wittstock(Dosse) (ab 04:52),
06:52 (+9),07:01,RE 3146,Stendal Hbf (ab 05:48),
06:54,06:54,RE 3105,Cottbus Hbf (ab 04:57),
07:04,07:04,RE 3106,Nauen (ab 06:39),5
07:04,07:04,RE 3147,Falkenberg(Elster) (ab 05:14),
07:10,07:10,RE 3608,Berlin-Charlottenburg (ab 07:03),3
07:12 (+6),07:18,ICE 644,Berlin Hbf (ab 06:47),
07:12 (+6),07:18,ICE 654,Berlin Südkreuz (ab 06:52),4
07:20,07:20,RB 18604,Berlin-Charlottenburg (ab 07:10),4
07:20 (+1),07:21,RE 62004,Wismar (ab 04:26),5
07:24,07:24,ICE 1548,Berlin Gesundbrunnen (ab 07:13),3
07:25 (+1),07:26,ICE 649,Hannover Hbf (ab 05:50),
07:27,07:27,RB 18244,Potsdam Hbf (ab 06:36),
07:28,07:28,RB 18247,Berlin-Charlottenburg (ab 07:22),4
07:28 (+1),07:29,RE 95775,Osnabrück Hbf (ab 07:18),
07:31,07:31,RE 26736,Elsterwerda (ab 05:29),3
07:31,07:31,RE 62007,Elsterwerda (ab 05:29),3
07:34 (+4),07:38,ICE 795,Berlin-Charlottenburg (ab 07:26),4
07:35,07:35,RB 18605,Nauen (ab 07:11),5
07:42 (+2),07:44,RE 3607,Wittenberge (ab 05:05),
07:52 (+2),07:54,RE 3166,Stendal Hbf (ab 06:47),
07:54,07:54,RE 3107,Cottbus Hbf (ab 06:03),
