Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:00,00:00,RB 21962,Berlin Hbf (an 00:08),8
00:01,00:01,RB 21965,Flughafen BER (an 00:14),3
00:08,00:08,RB 62086,Lille Flandres (an 18:51),
00:12,00:12,RE 3360,Eberswalde Hbf (an 01:04),
00:12,00:12,RE 3366,Berlin Hbf (an 00:19),
00:15,00:15,RB 21964,Berlin Hbf (an 00:23),
00:17 (+20),00:37,ICE 1500,Berlin Gesundbrunnen (an 00:33),7
00:31,00:31,RB 21966,Berlin Hbf (an 00:39),8
00:45,00:45,RB 21968,Berlin Hbf (an 00:53),8
00:51,00:51,RE 3363,Jüterbog (an 01:41),4
01:01,01:01,RB 21967,Naumburg(Saale)Hbf (an 12:50),3
01:09 (+17),01:26,RJ 479,Praha hl.n. (an 05:25),3
01:28 (+30),01:58,ICE 2592,Berlin Hbf (an 01:34),
01:36,01:36,RB 21800,Berlin Hbf (an 01:44),8
02:01,02:01,RB 21969,Flughafen BER (an 02:14),3
02:36,02:36,RB 21802,Berlin Hbf (an 02:44),7
03:16,03:16,RB 21803,Flughafen BER (an 03:29),3
03:46,03:46,RB 21805,Flughafen BER (an 04:00),3
04:15,04:15,RB 21806,Berlin Hbf (an 04:23),
04:18,04:18,ICE 646,Köln Hbf (an 09:33),7
04:25,04:25,ICE 277,Chur (an 14:22),6
04:45,04:45,RB 21808,Berlin Hbf (an 04:53),
04:54,04:54,RE 62040,Elsterwerda (an 06:29),
04:57,04:57,RJ 478,Hamburg-Altona (an 07:26),7
05:00,05:00,RE 21810,Berlin Hbf (an 05:08),
05:06,05:06,RE 62003,Wittenberge (an 06:56),8
05:10,05:10,RE 3302,Stralsund Hbf (an 08:45),6
05:17,05:17,RE 3144,Falkenberg(Elster) (an 06:44),4
05:20,05:20,ICE 2824,Göttingen (an 16:31),7
05:20,05:20,ICE 608,Hamburg-Altona (an 07:41),7
05:26 (+15),05:41,ICE 946,Köln Hbf (an 10:35),6
05:31,05:31,RB 21814,Berlin Hbf (an 05:39),
05:31,05:31,RE 3504,Stralsund Hbf (an 08:51),
05:35 (+27),06:02,ICE 2293,Frankfurt(Main)Hbf (an 10:19),
05:35 (+71),06:46,ICE 2593,Frankfurt(Main)Hbf (an 10:19),
05:42 (+11),05:53,ICE 1501,München Hbf (an 09:41),5
05:44,05:44,RE 3167,Schorndorf (an 17:09),7
05:45,05:45,RB 18501,Berlin Hbf (an 05:53),
05:45,05:45,RE 18501,Berlin Hbf (an 05:53),
05:46,05:46,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),
05:51,05:51,RE 62000,Elsterwerda (an 07:15),3
05:58,05:58,ICE 701,München Hbf (an 10:42),5
05:58,05:58,ICE 808,Hamburg-Altona (an 08:24),6
06:00,06:00,RE 21818,Berlin Hbf (an 06:08),
06:05,06:05,ICE 240,Amsterdam Centraal (an 11:59),7
06:07,06:07,RE 62005,Wismar (an 09:37),8
06:12,06:12,RE 3342,Schwedt(Oder) (an 07:55),6
06:15,06:15,RB 21820,Berlin Hbf (an 06:23),
06:15,06:15,RE 3164,Jüterbog (an 06:54),5
06:16,06:16,RB 18500,Lübbenau(Spreewald) (an 07:16),3
06:19,06:19,RJ 251,Villach Hbf (an 18:27),4
06:19,06:19,RJX 251,Villach Hbf (an 18:27),4
06:20,06:20,ICE 279,Interlaken Ost (an 15:59),6
06:26,06:26,ICE 904,Berlin Gesundbrunnen (an 06:37),6
06:31,06:31,RE 4352,Rostock Hbf (an 09:23),8
06:35 (+21),06:56,ICE 503,München Hbf (an 11:07),5
06:42 (+8),06:50,ICE 1003,München Hbf (an 10:45),5
06:43,06:43,RE 3147,Rathenow (an 07:52),6
06:45,06:45,RB 18503,Berlin Hbf (an 06:53),8
06:45,06:45,RE 10841,Berlin Hbf (an 06:53),8
06:45,06:45,RE 18503,Berlin Hbf (an 06:53),8
06:49,06:49,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),4
06:54,06:54,RE 62002,Elsterwerda (an 08:31),3
07:00,07:00,RE 21826,Berlin Hbf (an 07:08),8
07:06,07:06,RE 62007,Wittenberge (an 08:56),8
07:09,07:09,ICE 2825,München Hbf (an 09:31),
07:09,07:09,ICE 2831,München Hbf (an 08:13),7
07:09,07:09,ICE 595,München Hbf (an 15:14),7
07:10,07:10,RE 3304,Stralsund Hbf (an 10:44),6
07:15,07:15,RB 21828,Berlin Hbf (an 07:23),
07:16 (+207),10:43,NJ 409,Berlin Hbf (an 07:22),7
07:16,07:16,RB 18502,Lübbenau(Spreewald) (an 08:14),3
07:17,07:17,RE 3146,Falkenberg(Elster) (an 08:44),4
07:24 (+26),07:50,ICE 2830,Göttingen (an 16:54),6
07:24 (+26),07:50,ICE 606,Hamburg-Altona (an 09:40),6
07:31,07:31,RB 21830,Berlin Hbf (an 07:39),
07:31,07:31,RE 3506,St. Gallen(CH) (an 23:34),
07:35,07:35,ICE 2295,Frankfurt(Main)Hbf (an 12:36),
07:35 (+22),07:57,ICE 2595,Frankfurt(Main)Hbf (an 12:36),5
07:37 (+15),07:52,RJ 387,Praha hl.n. (an 11:25),3
07:39 (+103),09:22,EN 40476,Berlin Hbf (an 07:46),7
07:39 (+103),09:22,NJ 456,Berlin Hbf (an 07:46),7
07:42 (+9),07:51,ICE 1503,München Hbf (an 11:43),5
07:43 (+2),07:45,RE 3169,Schorndorf (an 17:39),6
07:45 (+67),08:52,RB 18505,Berlin Hbf (an 07:52),8
07:46,07:46,RE 3343,Luckenwalde (an 08:27),4
07:49,07:49,ICE 1131,Saarbrücken Hbf (an 14:17),7
07:51 (+1),07:52,RE 62004,Elsterwerda (an 09:14),3
08:00,08:00,RB 21834,Berlin Hbf (an 08:09),
08:06,08:06,ICE 148,Amsterdam Centraal (an 14:01),7
08:07 (+2),08:09,RE 62009,Wismar (an 11:37),8
08:12 (+1),08:13,RE 3344,Schwedt(Oder) (an 09:55),6
08:15,08:15,RE 21836,Berlin Hbf (an 08:22),8
08:15 (+9),08:24,RE 3166,Jüterbog (an 08:54),5
