Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
04:23,04:23,RB 61040,Basdorf (ab 04:10),1
04:53,04:53,RB 61000,Wensickendorf (ab 04:32),1
05:23,05:23,RB 61042,Klosterfelde (ab 04:57),1
05:53,05:53,RB 61002,Groß Schönebeck (ab 05:12),1
07:23,07:23,RB 61046,Wensickendorf (ab 07:02),1
07:53,07:53,RB 61006,Groß Schönebeck (ab 07:12),1
08:23,08:23,RB 61048,Wensickendorf (ab 08:02),1
09:23,09:23,RB 61050,Basdorf (ab 09:10),1
09:53,09:53,RB 61010,Groß Schönebeck (ab 09:12),1
10:53,10:53,RB 61012,Klosterfelde (ab 10:27),1
11:23,11:23,RB 61054,Basdorf (ab 11:10),1
11:53,11:53,RB 61014,Groß Schönebeck (ab 11:12),1
12:53,12:53,RB 61016,Klosterfelde (ab 12:27),1
13:23,13:23,RB 61058,Basdorf (ab 13:10),1
