Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:29,00:29,RE 62038,Berlin Hbf (an 00:36),3
02:42,02:42,RB 62089,Berlin Hbf (an 02:47),3
04:11,04:11,RB 18241,Potsdam Hbf (an 05:23),
04:28,04:28,RE 62001,Wismar (an 07:27),4
04:28,04:28,RE 8,Kassel-Wilhelmshöhe (an 20:55),
04:35,04:35,RE 62040,Elsterwerda (an 06:29),3
05:00,05:00,RE 3145,Stendal Hbf (an 06:13),
05:00,05:00,RE 4,Dortmund Hbf (an 23:50),
05:12,05:12,RE 3102,Cottbus Hbf (an 06:57),
05:23,05:23,RB 18243,Wustermark (an 05:46),4
05:30,05:30,RE 62003,Wittenberge (an 06:56),4
05:31,05:31,RE 62000,Elsterwerda (an 07:15),
06:00,06:00,RE 3167,Stendal Hbf (an 07:13),
06:12,06:12,RE 3104,Lübbenau(Spreewald) (an 07:32),
06:28,06:28,RE 62002,Elsterwerda (an 08:31),3
06:30,06:30,RE 62005,Wismar (an 09:37),4
06:59,06:59,RE 3146,Berlin Südkreuz (an 07:15),
07:12,07:12,RE 3106,Lübbenau(Spreewald) (an 08:32),
07:26,07:26,RE 62007,Wittenberge (an 08:56),4
07:28,07:28,RE 62004,Elsterwerda (an 09:14),3
08:00,08:00,RE 3166,Berlin Südkreuz (an 08:13),
08:12,08:12,RE 3108,Cottbus Hbf (an 09:55),
08:28,08:28,RE 62006,Elsterwerda (an 10:31),3
08:31,08:31,RE 62009,Wismar (an 11:37),4
08:59,08:59,RE 3148,Berlin Südkreuz (an 09:15),
09:26,09:26,RE 62011,Wittenberge (an 10:56),4
09:27,09:27,RE 62008,Baruth(Mark) (an 10:36),3
10:00,10:00,RE 3171,Stendal Hbf (an 11:13),
10:28 (+2),10:30,RE 62010,Elsterwerda (an 12:31),3
10:31 (+1),10:32,RE 62013,Wismar (an 13:37),4
11:00 (+3),11:03,RE 3151,Rathenow (an 11:54),4
11:26,11:26,RE 62015,Wittenberge (an 12:56),4
11:27 (+4),11:31,RE 62012,Baruth(Mark) (an 12:35),3
12:00,12:00,RE 3170,Jüterbog (an 12:54),3
12:00,12:00,RE 3173,Stendal Hbf (an 13:13),4
12:28,12:28,RE 62014,Elsterwerda (an 14:31),3
12:31 (+1),12:32,RE 62017,Wismar (an 15:37),4
12:59,12:59,RE 3152,Berlin Südkreuz (an 13:15),
13:00 (+13),13:13,RE 3153,Rathenow (an 13:54),4
13:26 (+10),13:36,RE 62019,Wittenberge (an 14:56),4
13:28,13:28,RE 62016,Luckau-Uckro (an 14:51),3
14:00,14:00,RE 3175,Stendal Hbf (an 15:13),4
14:28 (+5),14:33,RB 62018,Elsterwerda (an 16:31),3
14:28,14:28,RE 62018,Elsterwerda (an 16:31),
14:31 (+2),14:33,RE 62021,Wismar (an 17:37),4
14:59,14:59,RE 3154,Berlin Südkreuz (an 15:15),
15:26,15:26,RE 62023,Wittenberge (an 16:56),4
15:27 (+3),15:30,RE 62020,Luckau-Uckro (an 16:51),3
16:00,16:00,RE 3174,Berlin Südkreuz (an 16:13),
16:00,16:00,RE 3177,Stendal Hbf (an 17:13),4
16:28 (+10),16:38,RE 62022,Elsterwerda (an 18:31),3
16:31,16:31,RE 62025,Wismar (an 19:37),4
16:59,16:59,RE 3156,Berlin Südkreuz (an 17:15),
17:26 (+1),17:27,RE 62027,Wittenberge (an 18:56),4
17:28 (+3),17:31,RE 62024,Baruth(Mark) (an 18:35),3
18:00,18:00,RE 26117,Stendal Hbf (an 19:13),
18:00,18:00,RE 3176,Jüterbog (an 18:54),3
18:00 (+23),18:23,RE 3179,Stendal Hbf (an 19:13),4
18:28 (+2),18:30,RE 62026,Elsterwerda (an 20:31),3
18:31 (+2),18:33,RE 62029,Wismar (an 21:37),4
18:59,18:59,RE 3158,Falkenberg(Elster) (an 20:44),3
19:00,19:00,RE 3159,Rathenow (an 19:49),4
19:26 (+1),19:27,RE 62031,Wittenberge (an 20:56),4
19:28 (+4),19:32,RE 62028,Baruth(Mark) (an 20:35),3
20:00,20:00,RE 3178,Berlin Südkreuz (an 20:13),
20:00,20:00,RE 3181,Stendal Hbf (an 21:06),4
20:28 (+2),20:30,RE 62030,Elsterwerda (an 22:31),3
20:31 (+8),20:39,RE 62033,Schwerin Hbf (an 23:21),4
20:59,20:59,RE 3160,Jüterbog (an 21:56),3
21:28 (+6),21:34,RE 62032,Baruth(Mark) (an 22:36),3
21:31 (+1),21:32,RE 62035,Wismar (an 00:46),4
21:48 (+69),22:57,RE 3135,Nauen (an 22:21),4
22:00,22:00,RE 3183,Stendal Hbf (an 23:13),4
22:28,22:28,RE 62034,Berlin Hbf (an 22:35),3
22:30,22:30,RE 62037,Wittenberge (an 23:56),4
22:41,22:41,RE 3136,Cottbus Hbf (an 00:29),3
22:48 (+47),23:35,RE 3137,Nauen (an 23:21),4
23:14,23:14,RE 3185,Stendal Hbf (an 00:18),
23:28,23:28,RE 62036,Baruth(Mark) (an 00:35),3
23:30 (+1),23:31,RE 62039,Nauen (an 23:53),4
