Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:00,RB 21962,Berlin Hbf (an 00:16),
00:06,RE 73826,Berlin Hbf (an 00:21),
00:10,RE 3138,Cottbus Hbf (an 01:40),1
00:12,RB 93045,Zeesen (an 23:46),
00:12,RE 3745,Bad Belzig (an 01:31),2
00:12,RE 93045,Berlin Hbf (an 00:27),
00:16,RE 73749,Erkner (an 00:31),1
00:33,RE 3141,Berlin-Charlottenburg (an 01:00),2
00:38,RB 94796,Berlin Hbf (an 00:53),
00:38,RE 73796,Berlin-Wannsee (an 01:14),
00:48,RB 21968,Berlin-Charlottenburg (an 01:13),2
01:09,RE 3140,Cottbus Hbf (an 02:40),1
01:33,RE 73752,Berlin Zoologischer Garten (an 01:56),2
01:38 (+24),RE 73791,Erkner (an 01:53),1
01:39,RE 21800,Berlin Zoologischer Garten (an 02:00),
01:59,RB 21969,Naumburg(Saale)Hbf (an 14:13),1
02:39,RB 21802,Berlin Hbf (an 02:54),
03:54,RE 3705,Lübbenau(Spreewald) (an 04:57),
03:54,RE 93200,Lübben(Spreewald) (an 04:50),
04:16,RE 2,Mainz Hbf (an 21:13),
04:16,RE 3101,Berlin-Spandau (an 04:53),
04:27,RE 73751,Frankfurt(Oder) (an 05:29),
04:28,RE 21806,Berlin Hbf (an 04:44),
04:41,RB 18300,Eberswalde Hbf (an 05:27),14
04:46,RE 94716,Berlin Zoologischer Garten (an 05:08),
04:48,RB 61101,Templin Stadt (an 06:18),8
04:59,RE 3707,Berlin-Wannsee (an 05:34),
04:59,RE 93007,Berlin-Wannsee (an 05:34),
05:02,RE 3702,Lübbenau(Spreewald) (an 06:03),
05:02,RE 91399,Lübbenau(Spreewald) (an 06:03),
05:02,RE 92402,Lübben(Spreewald) (an 05:56),
05:20,RE 3103,Hennigsdorf(b Berlin) (an 06:23),2
05:32,RB 94753,Frankfurt(Oder) (an 06:35),
05:32,RE 94753,Frankfurt(Oder) (an 06:35),
05:41,RB 18302,Eberswalde Hbf (an 06:27),14
05:42,RE 3102,Cottbus Hbf (an 06:56),1
05:44,RE 94718,Berlin Zoologischer Garten (an 06:07),
05:46,RB 18203,Ludwigsfelde (an 06:24),13
05:48,RB 61103,Templin Stadt (an 07:18),7
05:59,RE 3709,Berlin-Wannsee (an 06:34),
06:01 (+2),RE 3704,Senftenberg (an 07:41),1
06:01,RE 94704,Lübbenau(Spreewald) (an 07:03),
06:05 (+2),EC 41,Warszawa Wschodnia (an 11:15),1
06:16,RE 94713,Frankfurt(Oder) (an 07:18),1
06:18,RB 18202,Berlin-Lichtenberg (an 06:22),14
06:20,RE 3105,Hennigsdorf(b Berlin) (an 07:23),2
06:22 (+20),RB 18305,Blankenfelde(Teltow-Fläming) (an 06:51),13
06:41 (+1),RB 18304,Eberswalde Hbf (an 07:27),14
06:42,RE 3104,Cottbus Hbf (an 07:57),1
06:44,RE 94720,Berlin Zoologischer Garten (an 07:07),2
06:46,RB 18205,Ludwigsfelde (an 07:24),13
06:48,RB 61105,Templin Stadt (an 08:18),8
06:53,RE 94755,Frankfurt(Oder) (an 07:47),
06:59 (+13),RE 3711,Dessau Hbf (an 08:53),2
07:02 (+1),RE 3706,Senftenberg (an 08:41),1
07:16,RE 94715,Frankfurt(Oder) (an 08:20),1
07:18 (+1),RB 18204,Berlin-Lichtenberg (an 07:22),14
07:20,RE 3107,Hennigsdorf(b Berlin) (an 08:23),2
07:22,RB 18307,Blankenfelde(Teltow-Fläming) (an 07:51),13
07:22,RB 24,Coburg (an 13:57),
07:41 (+2),RB 18306,Eberswalde Hbf (an 08:27),
07:42,RE 3106,Cottbus Hbf (an 08:56),1
07:44,RE 94722,Berlin Hbf (an 07:59),
07:46,RB 18207,Ludwigsfelde (an 08:24),13
07:48,RB 61107,Templin Stadt (an 09:18),7
07:53,RE 94757,Frankfurt(Oder) (an 08:43),
07:59 (+1),RE 3713,Dessau Hbf (an 09:53),2
07:59,RE 7,Münster(Westf)Hbf (an 23:02),
08:02 (+1),RE 3708,Senftenberg (an 09:41),1
08:02,RE 95118,Lübbenau(Spreewald) (an 09:03),
08:16,RE 94717,Frankfurt(Oder) (an 09:18),1
08:18,RB 18206,Berlin-Lichtenberg (an 08:22),14
08:20,RE 3109,Hennigsdorf(b Berlin) (an 09:23),2
08:22,RB 18309,Flughafen BER (an 08:40),
08:41,RB 18308,Eberswalde Hbf (an 09:27),
08:42,RE 3108,Cottbus Hbf (an 09:55),1
08:44,RE 94724,Berlin Hbf (an 08:59),
08:46,RB 18209,Ludwigsfelde (an 09:24),13
08:48,RB 61109,Templin Stadt (an 10:18),7
08:53,RE 94759,Frankfurt(Oder) (an 09:43),
08:59 (+18),RE 3715,Dessau Hbf (an 10:53),2
09:02 (+1),RE 3710,Senftenberg (an 10:41),1
09:16,RE 94719,Frankfurt(Oder) (an 10:18),1
09:18,RB 18208,Berlin-Lichtenberg (an 09:22),14
09:20,RE 3111,Hennigsdorf(b Berlin) (an 10:23),2
09:22,RB 18311,Blankenfelde(Teltow-Fläming) (an 09:51),13
09:41,RB 18310,Eberswalde Hbf (an 10:27),14
09:42,RE 3110,Cottbus Hbf (an 10:55),1
09:44,RE 94726,Berlin Hbf (an 09:59),
09:46,RB 18211,Ludwigsfelde (an 10:24),13
09:46,RB 32,Flughafen BER (an 10:05),
