Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:25,RE 3363,Jüterbog (an 01:41),Berlin Potsdamer Platz
00:52,RE 62090,Wünsdorf-Waldstadt (an 01:44),Berlin Potsdamer Platz
01:08,RE 62089,Berlin Hbf (an 01:11),Berlin Potsdamer Platz
04:41,RE 62052,Wünsdorf-Waldstadt (an 05:36),Berlin Potsdamer Platz
05:07,RB 18500,Nauen (an 05:48),Berlin Potsdamer Platz
05:08,RE 3144,Falkenberg(Elster) (an 06:34),Berlin Potsdamer Platz
05:16,RE 4351,Berlin Südkreuz (an 05:20),Berlin Potsdamer Platz
05:25,RE 3340,Berlin Hbf (an 05:27),Berlin Potsdamer Platz
05:34,RE 3301,Jüterbog (an 06:26),Berlin Potsdamer Platz
05:42,RE 3504,Stralsund Hbf (an 08:51),Berlin Potsdamer Platz
05:45,RB 18600,Nauen (an 06:33),Berlin Potsdamer Platz
05:45,RE 62054,Elsterwerda (an 07:47),Berlin Potsdamer Platz
05:51,RB 18501,Berlin Südkreuz (an 05:54),Berlin Potsdamer Platz
05:53,RE 3167,Stendal Hbf (an 07:15),Berlin Potsdamer Platz
06:07,RB 18502,Nauen (an 06:50),Berlin Potsdamer Platz
06:07,RE 3164,Jüterbog (an 06:56),Berlin Potsdamer Platz
06:07,RE 62053,Berlin Hbf (an 06:11),Berlin Potsdamer Platz
06:16,RE 3503,Sargans (an 22:24),Berlin Potsdamer Platz
06:27,RE 3304,Berlin Hbf (an 06:30),Berlin Potsdamer Platz
06:36,RE 3341,Lutherstadt Wittenberg Hbf (an 07:59),Berlin Potsdamer Platz
06:41,RE 4352,Rostock Hbf (an 09:23),Berlin Potsdamer Platz
06:45,RB 18602,Berlin-Spandau (an 07:00),Berlin Potsdamer Platz
06:48,RE 62056,Wünsdorf-Waldstadt (an 07:42),Berlin Potsdamer Platz
06:50,RE 3147,Rathenow (an 07:55),Berlin Potsdamer Platz
07:06,RB 18504,Berlin-Spandau (an 07:22),Berlin Potsdamer Platz
07:08,RE 3146,Falkenberg(Elster) (an 08:34),Berlin Potsdamer Platz
07:08,RE 62055,Berlin Hbf (an 07:10),Berlin Potsdamer Platz
07:26,RE 3342,Berlin Hbf (an 07:28),Berlin Potsdamer Platz
07:36,RE 3303,Jüterbog (an 08:26),Berlin Potsdamer Platz
07:42,RE 3506,St. Gallen(CH) (an 23:34),Berlin Potsdamer Platz
07:45,RE 62058,Elsterwerda (an 09:38),Berlin Potsdamer Platz
07:46,RB 18604,Nauen (an 08:33),Berlin Potsdamer Platz
07:50,RE 3169,Stendal Hbf (an 09:15),Berlin Potsdamer Platz
08:06,RE 3166,Jüterbog (an 08:56),Berlin Potsdamer Platz
08:07,RB 18506,Berlin-Spandau (an 08:22),Berlin Potsdamer Platz
08:07,RE 62057,Berlin Hbf (an 08:09),Berlin Potsdamer Platz
08:15,RB 18605,Berlin Südkreuz (an 08:20),Berlin Potsdamer Platz
08:20,RE 3505,Sargans (an 23:24),Berlin Potsdamer Platz
08:29 (+1),RE 3306,Berlin Hbf (an 08:32),Berlin Potsdamer Platz
08:36,RE 3343,Lutherstadt Wittenberg Hbf (an 09:59),Berlin Potsdamer Platz
08:41,RE 4354,Rostock Hbf (an 11:23),Berlin Potsdamer Platz
08:46,RB 18606,Berlin-Spandau (an 09:00),Berlin Potsdamer Platz
08:48,RE 62060,Baruth(Mark) (an 09:53),Berlin Potsdamer Platz
08:51,RE 3149,Rathenow (an 09:55),Berlin Potsdamer Platz
09:07,RB 18508,Nauen (an 09:50),Berlin Potsdamer Platz
09:08,RE 3148,Falkenberg(Elster) (an 10:34),Berlin Potsdamer Platz
09:08,RE 62059,Berlin Hbf (an 09:11),Berlin Potsdamer Platz
09:24,RE 3344,Berlin Hbf (an 09:27),Berlin Potsdamer Platz
09:36,RE 3305,Jüterbog (an 10:26),Berlin Potsdamer Platz
09:41 (+1),RE 3508,Stralsund Hbf (an 12:51),Berlin Potsdamer Platz
09:45,RB 18608,Berlin-Spandau (an 10:00),Berlin Potsdamer Platz
09:45,RE 62062,Elsterwerda (an 11:38),Berlin Potsdamer Platz
09:50,RE 3171,Stendal Hbf (an 11:14),Berlin Potsdamer Platz
10:07,RB 18510,Berlin-Spandau (an 10:22),Berlin Potsdamer Platz
10:07,RE 3168,Jüterbog (an 10:56),Berlin Potsdamer Platz
10:07,RE 62061,Berlin Hbf (an 10:09),Berlin Potsdamer Platz
10:28,RE 3308,Berlin Hbf (an 10:31),Berlin Potsdamer Platz
10:36,RE 3345,Lutherstadt Wittenberg Hbf (an 11:59),Berlin Potsdamer Platz
10:42 (+5),RE 4356,Rostock Hbf (an 13:23),Berlin Potsdamer Platz
10:45,RB 18610,Berlin-Spandau (an 11:00),Berlin Potsdamer Platz
10:48,RE 62064,Wünsdorf-Waldstadt (an 11:42),Berlin Potsdamer Platz
10:50 (+5),RE 3151,Rathenow (an 11:55),Berlin Potsdamer Platz
10:51,RB 18511,Berlin Südkreuz (an 10:54),Berlin Potsdamer Platz
11:06,RB 18512,Berlin-Spandau (an 11:22),Berlin Potsdamer Platz
11:08,RE 3150,Falkenberg(Elster) (an 12:34),Berlin Potsdamer Platz
11:08,RE 62063,Berlin Hbf (an 11:11),Berlin Potsdamer Platz
11:14,RB 18611,Berlin Südkreuz (an 11:18),Berlin Potsdamer Platz
11:19 (+1),RE 4357,Berlin Südkreuz (an 11:23),Berlin Potsdamer Platz
11:23,RE 3346,Berlin Hbf (an 11:25),Berlin Potsdamer Platz
11:36,RE 3367,Luckenwalde (an 12:18),Berlin Potsdamer Platz
11:43,RE 3510,Stralsund Hbf (an 14:51),Berlin Potsdamer Platz
11:45,RB 18612,Berlin-Spandau (an 12:00),Berlin Potsdamer Platz
11:45,RE 62066,Elsterwerda (an 13:38),Berlin Potsdamer Platz
11:53,RE 3173,Stendal Hbf (an 13:14),Berlin Potsdamer Platz
12:07,RB 18514,Berlin-Spandau (an 12:22),Berlin Potsdamer Platz
12:07,RE 3170,Jüterbog (an 12:56),Berlin Potsdamer Platz
12:07,RE 62065,Berlin Hbf (an 12:09),Berlin Potsdamer Platz
12:18 Ausfall,RE 3509,Berlin Südkreuz (an 12:23),Berlin Potsdamer Platz
