Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:13 (+15),00:28,ICE 276,Brig (ab 13:45),
00:22,00:22,RE 3319,Stralsund Hbf (ab 21:10),6
00:26,00:26,RE 3366,Teltow (ab 00:00),10
00:39,00:39,RB 56816,Schwerin Hbf (ab 22:14),
00:39 (+1),00:40,RE 56816,Oranienburg (ab 00:15),6
01:30,01:30,ICE 1500,München Hbf (ab 20:21),8
04:22,04:22,RE 3340,Berlin Hbf (ab 04:18),9
04:37,04:37,RE 3369,Eberswalde Hbf (ab 04:03),6
04:51,04:51,RE 4350,Berlin Hbf (ab 04:46),9
05:03,05:03,RE 4351,Neustrelitz Hbf (ab 03:49),6
05:14 (+1),05:15,RB 56801,Berlin Südkreuz (ab 05:00),9
05:14,05:14,RE 56801,Berlin Südkreuz (ab 05:00),9
05:22,05:22,RE 3,Stralsund Hbf (ab 00:10),
05:22,05:22,RE 3341,Schwedt(Oder) (ab 04:04),
05:27,05:27,RE 3302,Jüterbog (ab 04:22),9
05:34,05:34,RE 3601,Neuruppin West (ab 04:24),
05:40,05:40,RB 18240,Werder(Havel) (ab 04:31),5
05:40,05:40,RB 21,Niedernhausen(Taunus) (ab 00:05),
05:46,05:46,RE 3377,Angermünde (ab 04:55),9
05:51,05:51,RE 3504,Berlin Südkreuz (ab 05:34),10
06:03 (+37),06:40,RE 3503,Neubrandenburg (ab 04:27),6
06:22,06:22,RE 3301,Pasewalk (ab 04:44),6
06:28,06:28,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),10
06:34,06:34,RE 3603,Wittstock(Dosse) (ab 04:50),
06:34,06:34,RE 3605,Wittstock(Dosse) (ab 04:50),7
06:35,06:35,NEB 61080,Klosterfelde (ab 06:02),
06:35 (+3),06:38,RB 61080,Klosterfelde (ab 06:02),9
06:37 (+3),06:40,ICE 904,München Hbf (ab 23:12),10
06:40 (+6),06:46,RB 18242,Werder(Havel) (ab 05:41),5
06:51 (+8),06:59,RE 4352,Berlin Südkreuz (ab 06:34),10
06:57,06:57,RE 3331,Angermünde (ab 06:01),8
07:03 (+4),07:07,RE 4353,Rostock Hbf (ab 04:34),6
07:07 (+3),07:10,IC 2432,Cottbus Hbf (ab 05:27),7
07:21,07:21,RE 3343,Schwedt(Oder) (ab 06:04),6
07:28,07:28,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),9
07:34,07:34,RE 3607,Perleberg (ab 05:03),6
07:42,07:42,IC 2274,Dresden Hbf (ab 05:35),8
07:44,07:44,NEB 61082,Wandlitzsee (ab 07:18),
07:44 (+3),07:47,RB 61082,Wandlitzsee (ab 07:18),9
07:48,07:48,RB 18244,Werder(Havel) (ab 06:43),5
07:51,07:51,RE 3506,Berlin Südkreuz (ab 07:34),10
07:58,07:58,RE 3335,Angermünde (ab 07:10),8
08:03 (+58),09:01,RE 3505,Stralsund Hbf (ab 05:02),6
08:16 (+5),08:21,IC 2173,Rostock Hbf (ab 06:20),6
08:22,08:22,RE 3303,Stralsund Hbf (ab 05:10),6
08:28 (+1),08:29,RE 3344,Lutherstadt Wittenberg Hbf (ab 06:53),9
08:34 (+6),08:40,RE 3609,Perleberg (ab 06:03),7
08:39 (+8),08:47,RB 56800,Schwerin Hbf (ab 06:14),9
08:39,08:39,RE 52820,Schwerin Hbf (ab 06:14),
08:40,08:40,RB 18246,Werder(Havel) (ab 07:41),
08:44 (+2),08:46,ICE 806,Erfurt Hbf (ab 06:11),
08:51 Ausfall,--:--,RE 4354,Berlin Südkreuz (ab 08:34),10
08:54,08:54,IC 2231,Magdeburg Hbf (ab 07:02),
