Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:16,RE 3366,Eberswalde Hbf (an 01:04),3
00:43,RE 3363,Jüterbog (an 01:41),2
04:42,RB 62094,Berlin-Spandau (an 04:59),
04:50,RE 62040,Hohenleipisch (an 06:25),
05:05 (+1),RB 56801,Schwerin Hbf (an 07:48),3
05:05,RE 56801,Schwerin Hbf (an 07:48),
05:10,RE 62003,Elstal (an 05:53),4
05:12,RE 3144,Falkenberg(Elster) (an 06:44),2
05:15,RE 3302,Stralsund Hbf (an 08:45),3
05:17,RE 4351,Berlin Südkreuz (an 05:23),2
05:35 (+1),RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),1
05:35,RE 91801,Lutherstadt Wittenberg Hbf (an 07:06),
05:41,RE 3504,Stralsund Hbf (an 08:51),3
05:42,RB 62050,Berlin-Spandau (an 05:59),
05:46,RE 62000,Elsterwerda (an 07:15),1
05:48,RE 3167,Stendal Hbf (an 07:13),3
05:50,RB 18501,Berlin Hbf (an 05:53),4
06:03,RB 18500,Lübbenau(Spreewald) (an 07:18),1
06:10,RE 3164,Jüterbog (an 06:54),2
06:12,RE 62005,Elstal (an 06:49),4
06:16 (+2),RE 3342,Schwedt(Oder) (an 07:55),3
06:18,RE 3503,Sargans (an 22:24),2
06:41 (+1),RE 4352,Rostock Hbf (an 09:21),3
06:42,RB 62052,Berlin-Spandau (an 06:59),
06:43 (+1),RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),2
06:47,RE 3147,Schorndorf (an 12:09),3
06:48,RE 62002,Elsterwerda (an 08:31),1
06:50,RB 18503,Berlin Hbf (an 06:53),4
07:04,RB 18502,Lübbenau(Spreewald) (an 08:15),1
07:10,RE 62007,Elstal (an 07:53),4
07:12,RE 3146,Falkenberg(Elster) (an 08:44),2
07:15,RE 3304,Stralsund Hbf (an 10:44),3
07:17,RE 4353,Berlin Südkreuz (an 07:23),2
07:35,RE 3343,Luckenwalde (an 08:27),1
07:40 (+1),RE 3506,St. Gallen(CH) (an 23:34),3
07:43,RB 62054,Berlin-Spandau (an 07:59),
07:46,RE 62004,Elsterwerda (an 09:14),1
07:49,RE 3169,Stendal Hbf (an 09:30),3
07:50,RB 18505,Berlin Hbf (an 07:53),4
08:04,RB 18504,Lübbenau(Spreewald) (an 09:15),1
08:10,RE 3166,Jüterbog (an 08:54),2
08:12,RE 62009,Elstal (an 08:49),4
08:16,RE 3344,Schwedt(Oder) (an 09:55),3
08:17,RB 62055,Berlin Südkreuz (an 08:21),1
08:19,RE 3505,Sargans (an 23:24),2
08:41 (+3),RE 4354,Rostock Hbf (an 11:21),3
08:42 (+1),RB 62056,Wustermark (an 09:18),4
08:43 (+3),RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),2
08:47 (+1),RE 3149,Schorndorf (an 12:39),3
08:48,RE 62006,Elsterwerda (an 10:31),1
08:49 (+1),RB 18507,Berlin Hbf (an 08:53),4
09:04,RB 18506,Lübbenau(Spreewald) (an 10:15),1
09:10,RE 62011,Elstal (an 09:55),4
09:12 (+2),RE 3148,Falkenberg(Elster) (an 10:44),2
09:15,RE 3306,Stralsund Hbf (an 12:44),3
09:17 (+1),RB 62057,Berlin Südkreuz (an 09:21),1
09:17 (+1),RE 4355,Berlin Südkreuz (an 09:23),2
09:35,RE 3345,Luckenwalde (an 10:27),1
09:41 (+1),RE 3508,Stralsund Hbf (an 12:51),3
09:42,RB 62058,Dallgow-Döberitz (an 10:09),
09:46,RE 62008,Baruth(Mark) (an 10:36),1
09:48,RE 3171,Stendal Hbf (an 11:30),3
09:50,RB 18509,Berlin Hbf (an 09:53),4
10:04,RB 18508,Lübbenau(Spreewald) (an 11:15),1
10:05,RB 21850,Berlin Hbf (an 10:08),4
10:10,RE 3168,Jüterbog (an 10:54),2
10:12,RE 62013,Elstal (an 10:49),4
10:16 (+2),RE 3346,Schwedt(Oder) (an 11:55),3
10:17,RB 62059,Berlin Südkreuz (an 10:22),1
10:17,RE 3507,Berlin Südkreuz (an 10:24),2
10:21,RB 21852,Berlin Hbf (an 10:24),4
10:36,RB 21854,Berlin Hbf (an 10:39),4
10:41 (+4),RE 4356,Rostock Hbf (an 13:21),3
10:42,RB 62060,Berlin-Spandau (an 10:59),
10:43 (+1),RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),2
10:47,RE 3151,Schorndorf (an 13:09),3
10:48,RE 62010,Elsterwerda (an 12:31),1
10:50,RB 18511,Berlin Hbf (an 10:53),4
10:56,RB 21861,Flughafen BER (an 11:14),1
11:04,RB 18510,Lübbenau(Spreewald) (an 12:15),1
11:05,RB 21858,Berlin Hbf (an 11:08),4
11:10,RE 62015,Elstal (an 11:53),4
11:12 (+1),RE 3150,Falkenberg(Elster) (an 12:44),2
11:15 (+6),RE 3308,Stralsund Hbf (an 14:44),3
11:17,RB 62061,Berlin Südkreuz (an 11:21),1
11:17 (+2),RE 4357,Berlin Südkreuz (an 11:23),2
11:20,RB 21860,Berlin Hbf (an 11:23),4
11:35 (+8),RE 3347,Luckenwalde (an 12:27),1
11:36,RB 21862,Berlin Hbf (an 11:39),4
11:41 (+6),RE 3510,Stralsund Hbf (an 14:51),3
11:43,RB 62062,Berlin-Spandau (an 11:59),
11:46 (+4),RE 62012,Baruth(Mark) (an 12:36),1
11:50,RB 18513,Berlin Hbf (an 11:53),4
11:50 (+5),RE 3173,Stendal Hbf (an 13:30),3
12:04 (+4),RB 18512,Lübbenau(Spreewald) (an 13:15),1
12:10 (+3),RE 3170,Jüterbog (an 12:54),2
12:12,RE 62017,Elstal (an 12:49),4
12:16 (+4),RE 3348,Schwedt(Oder) (an 13:55),3
12:17,RB 62063,Berlin Südkreuz (an 12:21),1
12:19,RE 3509,Berlin Südkreuz (an 12:25),2
12:41 (+2),RE 4358,Rostock Hbf (an 15:21),3
12:42,RB 62064,Berlin-Spandau (an 12:59),
12:43 (+1),RE 3307,Lutherstadt Wittenberg Hbf (an 14:07),2
12:47,RE 3153,Rathenow (an 13:54),3
12:48,RE 62014,Elsterwerda (an 14:31),1
12:49,RB 18515,Berlin Hbf (an 12:53),4
13:04,RB 18514,Lübbenau(Spreewald) (an 14:15),1
13:10,RE 62019,Elstal (an 14:00),4
13:12,RE 3152,Falkenberg(Elster) (an 14:44),2
13:15 (+4),RE 3310,Stralsund Hbf (an 16:44),3
13:17,RE 4359,Berlin Südkreuz (an 13:23),2
13:35,RE 3349,Luckenwalde (an 14:27),1
13:36,RB 21878,Berlin Hbf (an 13:39),4
13:41 (+1),RE 3512,Stralsund Hbf (an 16:51),3
13:42,RB 62066,Wustermark (an 14:18),4
13:46,RE 62016,Elsterwerda (an 15:14),1
13:48,RE 3175,Stendal Hbf (an 15:30),3
13:50,RB 18517,Berlin Hbf (an 13:53),4
14:04,RB 18516,Lübbenau(Spreewald) (an 15:15),1
14:05,RB 21882,Berlin Hbf (an 14:08),4
14:10,RE 3172,Jüterbog (an 14:54),2
14:12,RE 62021,Elstal (an 14:49),4
14:16,RE 3350,Schwedt(Oder) (an 15:55),3
14:17 (+5),RB 62067,Rangsdorf (an 14:39),1
14:17,RE 3511,Berlin Südkreuz (an 14:23),2
14:20,RB 21884,Berlin Hbf (an 14:22),4
14:41,RE 4360,Rostock Hbf (an 17:21),3
14:42,RB 62068,Berlin-Spandau (an 14:59),
14:43,RE 3309,Lutherstadt Wittenberg Hbf (an 16:07),2
14:45 (+3),RB 62018,Elsterwerda (an 16:28),1
14:45,RE 62018,Elsterwerda (an 16:28),
14:47,RE 3155,Rathenow (an 15:54),3
14:49,RB 18519,Berlin Hbf (an 14:53),4
15:04,RB 18518,Lübben(Spreewald) (an 16:06),
15:10,RE 62023,Elstal (an 15:55),4
