Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:36,RE 3,Duisburg Hbf (an 23:50),Berlin Hbf (tief)
00:36 (+1),RE 3366,Eberswalde Hbf (an 01:15),Berlin Hbf (tief)
00:42,RE 3363,Jüterbog (an 01:41),Berlin Hbf (tief)
03:51,FEX19805,Flughafen BER - Terminal 1-2 (an 04:23),Berlin Hbf (tief)
03:53,ICE 4,Frankfurt(Main)Hbf (an 23:08),Berlin Hbf (tief)
04:21,FEX19807,Flughafen BER - Terminal 1-2 (an 05:00),Berlin Hbf (tief)
04:26 (+1),RE 3302,Stralsund Hbf (an 07:44),Berlin Hbf (tief)
04:30 (+1),ICE 501,München Hbf (an 09:17),Berlin Hbf (tief)
04:46,RE 3369,Berlin Südkreuz (an 04:52),Berlin Hbf (tief)
04:47,RE 4350,Rostock Hbf (an 07:23),Berlin Hbf (tief)
04:51,FEX19809,Flughafen BER - Terminal 1-2 (an 05:30),Berlin Hbf (tief)
04:56 (+2),ICE 500,Berlin Gesundbrunnen (an 23:43),Berlin Hbf (tief)
04:56,RE 3145,Rathenow (an 05:52),Berlin Hbf (tief)
04:56,RE 62151,Berlin-Spandau (an 05:07),Berlin Hbf (tief)
05:01 (+2),RE 3144,Falkenberg(Elster) (an 06:33),Berlin Hbf (tief)
05:04 (+1),ICE 571,Stuttgart Hbf (an 10:38),Berlin Hbf (tief)
05:12,RB 18500,Nauen (an 05:49),Berlin Hbf (tief)
05:12 (+1),RE 4351,Berlin Südkreuz (an 05:20),Berlin Hbf (tief)
05:21,FEX19811,Flughafen BER - Terminal 1-2 (an 06:00),Berlin Hbf (tief)
05:26,ICE 71,Basel SBB (an 13:10),Berlin Hbf (tief)
05:30,ICE 608,Hamburg-Altona (an 07:42),Berlin Hbf (tief)
05:31 (+8),RE 3301,Jüterbog (an 06:26),Berlin Hbf (tief)
05:32,RE 3340,Schwedt(Oder) (an 06:56),Berlin Hbf (tief)
05:34 (+1),ICE 1701,München Hbf (an 10:15),Berlin Hbf (tief)
05:47 (+1),RE 3504,Stralsund Hbf (an 08:51),Berlin Hbf (tief)
