Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
12:17,12:17,RB 18317,Blankenfelde(Teltow-Fläming) (an 12:51),22
12:35,12:35,RE 3117,Hennigsdorf(b Berlin) (an 13:23),
12:43,12:43,RB 34925,Hamburg Hbf (an 17:01),
12:43,12:43,RE 34925,Rostock Hbf (an 15:26),
12:43,12:43,RE 4358,Rostock Hbf (an 15:26),
12:47,12:47,RB 18316,Eberswalde Hbf (an 13:27),15
12:54,12:54,RB 92889,Oranienburg (an 13:22),
12:54,12:54,RE 56309,Schwerin Hbf (an 15:48),
13:35,13:35,RE 3119,Hennigsdorf(b Berlin) (an 14:23),
13:46,13:46,RE 34988,Stralsund Hbf (an 16:51),
13:46,13:46,RE 3512,Stralsund Hbf (an 16:51),
13:47,13:47,RB 18318,Eberswalde Hbf (an 14:27),
14:17,14:17,RB 18321,Blankenfelde(Teltow-Fläming) (an 14:51),22
14:35,14:35,RE 3121,Hennigsdorf(b Berlin) (an 15:23),
14:44,14:44,RE 34927,Oranienburg (an 15:13),
14:44,14:44,RE 4360,Rostock Hbf (an 17:28),20
14:47,14:47,RB 18320,Eberswalde Hbf (an 15:27),
14:54,14:54,RB 92891,Oranienburg (an 15:22),
14:54,14:54,RE 56311,Schwerin Hbf (an 17:48),16
15:06,15:06,RE 3336,Angermünde (an 16:01),
15:35,15:35,RE 3123,Hennigsdorf(b Berlin) (an 16:23),
15:43,15:43,RE 34990,Stralsund Hbf (an 18:51),
15:43,15:43,RE 3514,Stralsund Hbf (an 18:51),
15:47,15:47,RB 18322,Eberswalde Hbf (an 16:27),
16:04,16:04,RB 34930,Bernau(b Berlin) (an 16:23),
16:04,16:04,RE 3330,Angermünde (an 17:02),
16:35,16:35,RE 3125,Hennigsdorf(b Berlin) (an 17:23),
16:41,16:41,RE 34929,Rostock Hbf (an 19:25),
16:41,16:41,RE 4362,Rostock Hbf (an 19:25),
16:47,16:47,RB 18324,Eberswalde Hbf (an 17:27),
16:54,16:54,RE 56313,Schwerin Hbf (an 19:48),
17:35,17:35,RE 3127,Hennigsdorf(b Berlin) (an 18:23),
17:43,17:43,RE 34992,Neustrelitz Hbf (an 18:59),
17:43,17:43,RE 3516,Stralsund Hbf (an 20:51),
17:47,17:47,RB 18326,Eberswalde Hbf (an 18:27),
18:05,18:05,RE 3332,Angermünde (an 19:01),20
18:35,18:35,RE 3129,Hennigsdorf(b Berlin) (an 19:23),
18:43,18:43,RE 34960,Rostock Hbf (an 21:27),
18:43,18:43,RE 4364,Waren(Müritz) (an 20:38),
18:47,18:47,RB 18328,Eberswalde Hbf (an 19:27),
18:54,18:54,RE 56315,Schwerin Hbf (an 21:48),
19:35,19:35,RE 3131,Hennigsdorf(b Berlin) (an 20:23),
19:43,19:43,RE 34994,Stralsund Hbf (an 22:51),
19:43,19:43,RE 3518,Stralsund Hbf (an 22:51),
19:47,19:47,RB 18330,Eberswalde Hbf (an 20:27),
20:43,20:43,RE 34964,Rostock Hbf (an 23:21),
20:43,20:43,RE 4366,Rostock Hbf (an 23:21),
20:47,20:47,RB 18332,Bernau(b Berlin) (an 21:07),
20:54,20:54,RE 56317,Schwerin Hbf (an 23:48),
21:35,21:35,RE 3135,Hennigsdorf(b Berlin) (an 22:25),
21:43,21:43,RE 34996,Neustrelitz Hbf (an 22:59),
21:47,21:47,RB 92974,Bernau(b Berlin) (an 22:07),
22:41,22:41,RB 18237,Ludwigsfelde (an 23:24),22
22:44,22:44,RE 4368,Rostock Hbf (an 01:10),
22:47,22:47,RB 18336,Eberswalde Hbf (an 23:27),
