Ankunft,Zugnr.,von (Abfahrt),Gleis
00:22,RE 3319,Stralsund Hbf (ab 21:10),6
00:26,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),10
00:39,RB 56816,Schwerin Hbf (ab 22:14),
00:43 (+2),ICE 700,München Hbf (ab 19:09),8
01:02,ICE 1500,München Hbf (ab 20:21),8
04:37,RE 3369,Eberswalde Hbf (ab 04:03),
04:51,RE 4350,Berlin Hbf (ab 04:46),9
05:03,RE 4351,Neustrelitz Hbf (ab 03:49),6
05:14 (+2),RB 56801,Berlin Südkreuz (ab 05:00),9
05:14 (+1),RE 56801,Berlin Südkreuz (ab 05:00),9
05:22,RE 3341,Schwedt(Oder) (ab 04:04),6
05:22,RE 91801,Eberswalde Hbf (ab 04:49),
05:27,RE 3302,Jüterbog (ab 04:22),9
05:34,RE 3601,Neuruppin West (ab 04:24),6
05:40 (+2),RB 18240,Potsdam Hbf (ab 04:35),5
05:40,RB 21,Niedernhausen(Taunus) (ab 00:05),
05:46,RE 3377,Angermünde (ab 04:55),9
05:51,RE 3504,Berlin Südkreuz (ab 05:34),10
06:03,RE 3503,Neubrandenburg (ab 04:27),6
06:22 (+2),RE 3301,Pasewalk (ab 04:44),6
06:28,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),10
06:34,RE 3603,Wittstock(Dosse) (ab 04:50),
06:34,RE 3605,Wittstock(Dosse) (ab 04:50),7
06:35,NEB 61080,Klosterfelde (ab 06:02),
06:35,RB 61080,Klosterfelde (ab 06:02),9
06:37 (+3),ICE 2910,München Hbf (ab 23:12),10
06:37 (+3),ICE 904,München Hbf (ab 23:12),10
06:40 (+9),RB 18242,Werder(Havel) (ab 05:41),5
06:40,RB 21,Marquardt (ab 21:52),
06:51,RE 4352,Berlin Südkreuz (ab 06:34),10
06:57,RE 3331,Angermünde (ab 06:01),8
07:03,RE 4353,Rostock Hbf (ab 04:34),6
07:03,RE 5,München Ost (ab 00:02),
07:07 (+3),IC 2432,Cottbus Hbf (ab 05:27),7
07:21,RE 3343,Schwedt(Oder) (ab 06:04),6
07:28,RE 3,Langenargen (ab 13:40),
07:28,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),9
07:34,RE 3607,Perleberg (ab 05:03),6
07:42,IC 2274,Dresden Hbf (ab 05:35),8
07:44,NEB 61082,Wandlitzsee (ab 07:18),
07:44,RB 61082,Wandlitzsee (ab 07:18),9
07:48,RB 18244,Werder(Havel) (ab 06:43),5
07:51,RE 3506,Berlin Südkreuz (ab 07:34),10
07:58,RE 3335,Angermünde (ab 07:10),8
08:03 (+1),RE 3505,Stralsund Hbf (ab 05:02),6
08:14 (+1),ICE 698,München Hbf (ab 22:46),8
08:16,IC 2173,Rostock Hbf (ab 06:20),6
08:22,RE 3303,Stralsund Hbf (ab 05:10),6
08:28,RE 3344,Lutherstadt Wittenberg Hbf (ab 06:53),9
08:34,RE 3609,Perleberg (ab 06:03),7
08:39,RB 56800,Schwerin Hbf (ab 06:14),9
08:40 (+4),RB 18246,Werder(Havel) (ab 07:41),5
08:44,ICE 806,Erfurt Hbf (ab 06:30),8
08:51 (+1),RE 4354,Berlin Südkreuz (ab 08:35),6
08:54,IC 2231,Magdeburg Hbf (ab 07:02),10
09:02 (+2),ICE 936,Eisenach Hbf (ab 06:37),8
09:03,RE 4355,Rostock Hbf (ab 06:37),6
09:21,RE 3345,Schwedt(Oder) (ab 08:04),6
09:28,RE 3306,Luckenwalde (ab 08:35),9
09:31 (+1),ICE 1104,München Hbf (ab 05:17),8
09:34,RE 3611,Perleberg (ab 07:03),7
09:40 (+8),RB 18248,Werder(Havel) (ab 08:41),5
09:43,IC 2272,Dresden Hbf (ab 07:35),9
09:51,RE 3508,Berlin Südkreuz (ab 09:34),9
10:02,RE 3507,Stralsund Hbf (ab 07:02),6
10:16,IC 2175,Rostock Hbf (ab 08:20),6
10:22,RE 3305,Stralsund Hbf (ab 07:10),6
10:24 (+1),ICE 1708,Jena-Göschwitz (ab 07:06),10
10:28 (+1),RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),9
10:31 (+27),ICE 1604,München Hbf (ab 06:19),8
10:34,RE 3613,Perleberg (ab 08:03),7
10:34,RE 6,Köln/Bonn Flughafen (ab 00:48),
10:39,RB 56802,Schwerin Hbf (ab 08:14),
10:40 (+2),RB 18250,Werder(Havel) (ab 09:41),5
10:43 (+8),ICE 2808,Frankfurt(Main)Hbf (ab 06:15),8
10:43,ICE 2810,Dresden Hbf (ab 16:11),8
10:43 (+7),ICE 696,Frankfurt(Main)Hbf (ab 06:15),8
10:51 (+3),RE 4356,Berlin Südkreuz (ab 10:34),10
10:54 (+2),ICE 839,Stralsund Hbf (ab 08:07),6
11:02 (+10),ICE 934,Darmstadt Hbf (ab 06:37),8
11:03 (+6),RE 4357,Rostock Hbf (ab 08:37),6
11:21,RE 3347,Schwedt(Oder) (ab 10:04),6
11:28 (+1),RE 3308,Luckenwalde (ab 10:35),9
11:31 (+10),ICE 1102,München Hbf (ab 07:17),8
11:34,RE 3615,Perleberg (ab 09:03),6
11:40 (+4),RB 18252,Werder(Havel) (ab 10:41),5
11:43 (+8),IC 2270,Dresden Hbf (ab 09:35),9
11:51 (+6),RE 3510,Berlin Südkreuz (ab 11:34),9
12:03,RE 3509,Stralsund Hbf (ab 09:02),6
12:06 (+5),ICE 1162,Stuttgart Hbf (ab 07:04),10
12:16,IC 2177,Rostock Hbf (ab 10:21),6
12:16 (+6),ICE 2802,München Hbf (ab 07:12),8
12:16 (+6),ICE 802,München Hbf (ab 07:12),8
12:22 (+1),RE 3307,Stralsund Hbf (ab 09:10),6
12:28 (+1),RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),9
12:31 (+14),ICE 1602,München Hbf (ab 08:21),8
12:34,RE 3617,Perleberg (ab 10:03),7
12:39,RB 56804,Schwerin Hbf (ab 10:14),
12:40 (+3),RB 18254,Werder(Havel) (ab 11:41),5
12:43,ICE 694,Stuttgart Hbf (ab 06:49),8
12:51,RE 4358,Berlin Südkreuz (ab 12:34),10
12:54 (+4),ICE 931,Stralsund Hbf (ab 10:07),6
